,Open,High,Low,Close,Adj Close,Volume
2000-01-03,152.82,153.38,150.62,152.0,152.0,26192266
2000-01-04,153.78,154.89,150.68,152.78,152.78,3005699
2000-01-05,151.53,153.07,150.94,152.0,152.0,6137227
2000-01-06,152.53,153.14,150.28,151.71,151.71,5677707
2000-01-07,154.32,155.74,153.96,154.85,154.85,3730651
2000-01-10,151.25,153.14,149.69,151.42,151.42,7479027
2000-01-11,152.9,153.38,151.64,152.51,152.51,7727564
2000-01-12,149.57,150.97,148.77,149.87,149.87,6488724
2000-01-13,147.61,148.27,145.91,147.09,147.09,5722775
2000-01-14,151.95,153.19,149.07,151.13,151.13,8538456
2000-01-17,150.8,151.75,148.61,150.18,150.18,2232849
2000-01-18,147.82,148.99,146.08,147.53,147.53,4363318
2000-01-19,147.79,148.59,146.55,147.57,147.57,3249482
2000-01-20,152.49,153.0,150.66,151.83,151.83,4771686
2000-01-21,150.34,151.4,148.83,150.11,150.11,6549152
2000-01-24,148.57,150.09,146.84,148.47,148.47,3818113
2000-01-25,145.68,147.35,145.07,146.21,146.21,4921481
2000-01-26,143.34,144.88,142.51,143.69,143.69,2839161
2000-01-27,144.88,145.55,143.57,144.56,144.56,6174293
2000-01-28,146.43,147.96,145.13,146.54,146.54,11768303
2000-01-31,148.73,148.98,147.97,148.47,148.47,6262408
2000-02-01,150.76,151.54,149.09,150.32,150.32,4858992
2000-02-02,146.55,147.72,145.08,146.4,146.4,7729648
2000-02-03,147.43,148.22,145.73,146.98,146.98,7266960
2000-02-04,147.56,148.2,145.48,146.84,146.84,5524556
2000-02-07,146.43,147.44,145.35,146.4,146.4,4952127
2000-02-08,147.11,147.36,146.62,146.99,146.99,5984774
2000-02-09,148.35,149.53,146.63,148.08,148.08,5239399
2000-02-10,148.98,149.93,147.77,148.85,148.85,6001369
2000-02-11,144.29,145.53,142.17,143.85,143.85,2481506
2000-02-14,145.33,146.13,143.33,144.73,144.73,2694466
2000-02-15,143.75,144.55,142.96,143.75,143.75,5576883
2000-02-16,140.12,141.45,138.77,140.11,140.11,3982117
2000-02-17,134.5,135.96,133.96,134.96,134.96,5077187
2000-02-18,137.53,138.35,135.3,136.83,136.83,6865342
2000-02-21,135.86,136.93,134.12,135.53,135.53,8002534
2000-02-22,135.67,136.48,135.12,135.8,135.8,4049151
2000-02-23,136.5,137.0,135.4,136.2,136.2,6279913
2000-02-24,136.04,136.53,134.8,135.66,135.66,3413952
2000-02-25,134.93,135.44,133.12,134.28,134.28,6256811
2000-02-28,131.62,133.75,130.78,132.26,132.26,7864376
2000-02-29,130.83,131.09,130.39,130.74,130.74,10624494
2000-03-01,130.59,131.24,128.18,129.71,129.71,5338821
2000-03-02,129.79,130.99,129.37,130.18,130.18,7432923
2000-03-03,131.1,132.26,130.02,131.14,131.14,4199697
2000-03-06,130.47,131.18,129.63,130.41,130.41,3492531
2000-03-07,129.67,131.47,129.08,130.28,130.28,4452845
2000-03-08,132.91,133.32,131.72,132.52,132.52,9859171
2000-03-09,130.32,131.47,129.38,130.42,130.42,2323494
2000-03-10,130.73,131.22,130.1,130.66,130.66,3954535
2000-03-13,130.75,132.02,130.4,131.21,131.21,9177225
2000-03-14,127.01,127.34,126.62,126.98,126.98,5986526
2000-03-15,127.95,128.44,127.0,127.72,127.72,4154203
2000-03-16,128.14,129.58,126.9,128.24,128.24,4339578
2000-03-17,127.93,128.38,126.2,127.29,127.29,5229271
2000-03-20,127.35,129.54,126.15,127.85,127.85,7124876
2000-03-21,125.7,127.96,125.12,126.54,126.54,3840796
2000-03-22,127.58,128.25,125.22,126.73,126.73,3520332
2000-03-23,128.23,128.95,126.32,127.64,127.64,4100741
2000-03-24,126.32,128.82,125.58,127.2,127.2,4376102
2000-03-27,127.54,128.38,126.87,127.63,127.63,12439422
2000-03-28,131.42,132.13,129.57,130.85,130.85,4320127
2000-03-29,133.1,133.6,132.61,133.1,133.1,3945487
2000-03-30,132.13,133.38,131.55,132.46,132.46,3473397
2000-03-31,133.8,135.07,133.03,134.05,134.05,7888507
2000-04-03,135.41,135.88,134.49,135.18,135.18,7518598
2000-04-04,133.36,133.86,132.91,133.38,133.38,7082955
2000-04-05,128.57,129.79,127.56,128.68,128.68,5328830
2000-04-06,132.92,133.92,131.34,132.63,132.63,2873081
2000-04-07,130.77,131.35,130.35,130.85,130.85,13095074
2000-04-10,131.99,132.45,130.66,131.56,131.56,5732735
2000-04-11,133.36,133.71,132.02,132.86,132.86,6459730
2000-04-12,136.28,136.94,133.87,135.41,135.41,8163269
2000-04-13,135.46,136.97,134.12,135.55,135.55,4750981
2000-04-14,135.0,135.42,133.32,134.37,134.37,6407088
2000-04-17,136.29,137.22,133.12,135.17,135.17,10516697
2000-04-18,132.78,133.49,131.21,132.35,132.35,4825859
2000-04-19,130.62,131.37,129.34,130.35,130.35,5505193
2000-04-20,129.21,129.7,127.49,128.6,128.6,8507071
2000-04-21,132.47,134.28,131.08,132.68,132.68,3278047
2000-04-24,131.36,132.66,130.73,131.7,131.7,4971849
2000-04-25,134.34,134.85,132.88,133.86,133.86,7808665
2000-04-26,133.53,135.4,132.1,133.75,133.75,3241593
2000-04-27,134.72,136.35,133.27,134.81,134.81,7008829
2000-04-28,130.9,132.64,130.33,131.49,131.49,6204806
2000-05-01,129.99,130.55,129.57,130.06,130.06,4777153
2000-05-02,127.0,127.66,126.69,127.18,127.18,5928591
2000-05-03,123.33,125.08,122.47,123.78,123.78,4039600
2000-05-04,121.53,121.92,120.19,121.05,121.05,11073011
2000-05-05,121.21,122.57,120.66,121.62,121.62,3059787
2000-05-08,123.43,124.13,122.2,123.17,123.17,3105587
2000-05-09,122.14,123.09,121.23,122.16,122.16,7979173
2000-05-10,119.3,120.42,118.82,119.62,119.62,3753447
2000-05-11,118.94,119.7,117.52,118.61,118.61,5895421
2000-05-12,121.12,121.72,120.07,120.9,120.9,3536697
2000-05-15,117.28,117.75,115.93,116.84,116.84,4507428
2000-05-16,116.73,117.21,116.47,116.84,116.84,4562758
2000-05-17,116.07,116.67,115.6,116.14,116.14,7320856
2000-05-18,114.94,115.54,113.79,114.66,114.66,6879251
2000-05-19,115.25,116.31,114.51,115.41,115.41,7558332
2000-05-22,114.52,114.95,113.32,114.14,114.14,3116381
2000-05-23,114.27,115.17,113.1,114.13,114.13,3586780
2000-05-24,115.61,115.95,114.37,115.16,115.16,4908359
2000-05-25,116.33,117.76,115.75,116.75,116.75,7816532
2000-05-26,117.91,119.11,117.26,118.19,118.19,3893155
2000-05-29,121.87,123.64,121.38,122.51,122.51,2874345
2000-05-30,121.33,122.11,119.95,121.03,121.03,5591650
2000-05-31,122.66,123.03,121.19,122.11,122.11,8051921
2000-06-01,123.05,124.45,122.59,123.52,123.52,5180454
2000-06-02,121.37,122.55,120.97,121.76,121.76,5700248
2000-06-05,117.38,117.55,117.19,117.37,117.37,3589204
2000-06-06,117.01,117.99,116.06,117.02,117.02,2730218
2000-06-07,117.43,118.94,116.89,117.92,117.92,4051272
2000-06-08,119.89,121.11,119.26,120.19,120.19,7292208
2000-06-09,122.03,122.89,121.39,122.14,122.14,4409697
2000-06-12,123.62,126.19,122.84,124.52,124.52,3320013
2000-06-13,121.86,122.68,120.0,121.34,121.34,4274701
2000-06-14,121.52,122.47,121.2,121.83,121.83,5756639
2000-06-15,119.5,120.34,119.12,119.73,119.73,4095458
2000-06-16,120.47,121.06,120.17,120.62,120.62,9366924
2000-06-19,122.15,122.47,121.04,121.75,121.75,4000538
2000-06-20,118.27,118.5,117.95,118.22,118.22,8177649
2000-06-21,118.37,120.05,117.63,118.84,118.84,5174684
2000-06-22,120.96,121.73,119.94,120.83,120.83,6702179
2000-06-23,120.07,120.3,119.27,119.78,119.78,4534250
2000-06-26,120.54,122.18,119.81,121.0,121.0,3929047
2000-06-27,118.5,119.36,116.98,118.17,118.17,5658018
2000-06-28,117.74,118.15,117.16,117.65,117.65,5605251
2000-06-29,117.05,118.1,116.13,117.11,117.11,5415744
2000-06-30,119.63,120.52,117.7,119.11,119.11,12113850
2000-07-03,118.93,120.16,118.06,119.11,119.11,5958244
2000-07-04,118.98,119.86,118.06,118.96,118.96,4016577
2000-07-05,120.03,121.86,119.47,120.66,120.66,5136772
2000-07-06,120.02,120.83,119.5,120.16,120.16,7419595
2000-07-07,117.86,118.73,117.16,117.94,117.94,6773546
2000-07-10,116.39,117.05,115.2,116.13,116.13,4972528
2000-07-11,115.7,116.45,114.8,115.62,115.62,9052561
2000-07-12,116.04,116.88,114.83,115.86,115.86,6236117
2000-07-13,114.01,114.71,113.28,113.99,113.99,5393484
2000-07-14,115.46,116.4,114.73,115.57,115.57,4237169
2000-07-17,116.2,117.07,115.28,116.17,116.17,7772124
2000-07-18,114.85,115.78,113.77,114.77,114.77,4421403
