,Open,High,Low,Close,Adj Close,Volume
2000-01-03,142.34,142.77,141.23,142.0,142.0,7067461
2000-01-04,144.85,146.22,143.85,145.04,145.04,4782953
2000-01-05,145.15,146.47,142.33,144.4,144.4,4003816
2000-01-06,143.69,145.32,142.88,144.1,144.1,6904539
2000-01-07,148.12,148.61,146.48,147.55,147.55,4267011
2000-01-10,150.11,151.16,148.85,150.0,150.0,7633225
2000-01-11,151.12,153.27,148.47,150.87,150.87,6717450
2000-01-12,147.75,148.98,146.75,147.86,147.86,4646103
2000-01-13,147.67,148.73,145.74,147.24,147.24,11419367
2000-01-14,146.96,147.12,146.84,146.98,146.98,2330577
2000-01-17,150.86,152.04,149.94,150.99,150.99,4126874
2000-01-18,152.53,153.07,151.09,152.08,152.08,4193939
2000-01-19,151.06,152.58,149.22,150.9,150.9,8294177
2000-01-20,152.35,154.39,150.69,152.54,152.54,6144312
2000-01-21,153.73,154.49,151.81,153.15,153.15,6698094
2000-01-24,149.46,149.81,148.7,149.26,149.26,2647487
2000-01-25,149.48,150.65,148.38,149.51,149.51,7179103
2000-01-26,151.68,152.03,151.15,151.59,151.59,8327519
2000-01-27,149.67,151.35,148.06,149.71,149.71,2644690
2000-01-28,156.4,157.21,153.71,155.46,155.46,4778776
2000-01-31,156.68,159.18,155.89,157.53,157.53,9199698
2000-02-01,157.63,158.88,154.82,156.85,156.85,4908453
2000-02-02,158.48,159.22,157.11,158.16,158.16,5546180
2000-02-03,157.68,158.99,153.92,156.46,156.46,7658548
2000-02-04,155.57,156.9,155.2,156.05,156.05,4103252
2000-02-07,159.41,160.75,158.54,159.64,159.64,5907396
2000-02-08,158.16,159.62,156.86,158.24,158.24,8258758
2000-02-09,159.99,161.75,158.2,159.98,159.98,6671641
2000-02-10,158.72,160.77,157.13,158.95,158.95,3357246
2000-02-11,158.88,159.6,158.03,158.82,158.82,6836197
2000-02-14,165.52,167.02,164.04,165.53,165.53,5828855
2000-02-15,166.39,168.29,165.51,166.9,166.9,4575789
2000-02-16,166.04,167.71,164.74,166.22,166.22,5509366
2000-02-17,165.74,166.84,164.04,165.44,165.44,9727380
2000-02-18,166.58,168.33,164.72,166.53,166.53,3528590
2000-02-21,161.88,163.85,161.2,162.52,162.52,6003554
2000-02-22,164.42,165.76,163.19,164.47,164.47,12170251
2000-02-23,164.62,165.89,163.57,164.73,164.73,2472489
2000-02-24,167.51,169.32,165.37,167.35,167.35,8272083
2000-02-25,168.32,170.57,167.57,169.07,169.07,5995143
2000-02-28,164.06,165.95,162.98,164.46,164.46,7047587
2000-02-29,165.17,166.73,164.78,165.75,165.75,2036666
2000-03-01,161.26,162.07,159.56,160.81,160.81,9273493
2000-03-02,161.58,162.99,160.81,161.9,161.9,6122627
2000-03-03,164.89,165.58,163.25,164.41,164.41,9365821
2000-03-06,162.87,163.51,162.0,162.75,162.75,4079764
2000-03-07,161.7,162.89,161.39,162.14,162.14,3136691
2000-03-08,159.73,160.24,159.53,159.88,159.88,3392877
2000-03-09,165.55,165.73,165.07,165.4,165.4,8481408
2000-03-10,163.01,164.66,160.15,162.4,162.4,3994333
2000-03-13,158.97,160.28,158.13,159.2,159.2,1466789
2000-03-14,160.73,162.51,159.46,160.98,160.98,6206510
2000-03-15,159.71,160.22,158.91,159.56,159.56,4271352
2000-03-16,156.58,158.35,155.96,157.16,157.16,10328862
2000-03-17,159.48,159.68,159.08,159.38,159.38,6553556
2000-03-20,163.39,163.72,163.27,163.49,163.49,10047951
2000-03-21,163.24,165.69,161.49,163.59,163.59,6076322
2000-03-22,166.05,168.85,165.29,167.07,167.07,7658205
2000-03-23,167.85,168.72,166.19,167.46,167.46,5951299
2000-03-24,162.12,163.84,161.07,162.45,162.45,4684599
2000-03-27,163.44,165.27,161.88,163.58,163.58,5544893
2000-03-28,159.23,161.87,158.46,160.17,160.17,4579721
2000-03-29,158.68,159.78,157.75,158.76,158.76,3744288
2000-03-30,157.8,159.54,156.78,158.16,158.16,7968941
2000-03-31,157.93,159.05,156.56,157.8,157.8,5246479
2000-04-03,157.14,158.12,155.2,156.66,156.66,5151459
2000-04-04,153.85,156.56,152.85,154.71,154.71,2372385
2000-04-05,157.26,158.44,156.46,157.45,157.45,6382246
2000-04-06,158.49,159.77,157.16,158.47,158.47,3268753
2000-04-07,158.36,158.98,156.24,157.61,157.61,5335102
2000-04-10,155.59,157.06,155.02,156.04,156.04,11036257
2000-04-11,159.22,160.25,158.92,159.58,159.58,4215078
2000-04-12,161.19,161.89,158.88,160.38,160.38,4924367
2000-04-13,163.2,164.49,161.41,162.95,162.95,2968696
2000-04-14,160.52,161.5,158.29,159.89,159.89,5723618
2000-04-17,161.47,162.5,159.45,160.98,160.98,5163710
2000-04-18,160.35,161.22,160.06,160.64,160.64,4494742
2000-04-19,161.28,162.13,160.18,161.15,161.15,3898962
2000-04-20,163.01,165.01,161.99,163.5,163.5,8928181
2000-04-21,166.73,167.0,166.2,166.6,166.6,4525267
2000-04-24,169.87,170.19,169.21,169.7,169.7,9521891
2000-04-25,166.1,168.28,165.1,166.69,166.69,5976879
2000-04-26,164.57,166.17,163.03,164.6,164.6,3223180
2000-04-27,163.76,165.05,162.37,163.71,163.71,5280652
2000-04-28,161.65,164.4,160.68,162.54,162.54,16753053
2000-05-01,167.96,169.59,167.28,168.44,168.44,3050113
2000-05-02,170.87,171.77,169.1,170.43,170.43,6887004
2000-05-03,170.75,171.25,169.66,170.46,170.46,6839203
2000-05-04,171.78,173.27,170.28,171.78,171.78,7581359
2000-05-05,168.39,169.16,167.47,168.32,168.32,8014752
2000-05-08,168.11,169.81,167.48,168.65,168.65,5943593
2000-05-09,166.64,167.38,166.04,166.71,166.71,4271456
2000-05-10,159.86,162.0,157.78,159.89,159.89,6408716
2000-05-11,161.11,162.78,159.63,161.21,161.21,5403486
2000-05-12,159.98,160.63,158.58,159.6,159.6,7012050
2000-05-15,161.11,161.85,158.89,160.37,160.37,4992143
2000-05-16,162.03,162.89,161.6,162.25,162.25,11294832
2000-05-17,163.59,165.25,162.96,164.1,164.1,5948390
2000-05-18,164.04,164.84,163.61,164.22,164.22,3798409
2000-05-19,161.01,162.34,160.1,161.22,161.22,6188094
2000-05-22,161.99,163.23,159.98,161.61,161.61,11643148
2000-05-23,160.94,162.81,159.93,161.37,161.37,4658105
2000-05-24,166.92,167.86,165.74,166.8,166.8,5499083
2000-05-25,170.07,170.46,169.28,169.87,169.87,9770571
2000-05-26,168.19,170.03,166.84,168.44,168.44,3733604
2000-05-29,167.98,168.78,166.57,167.67,167.67,4642608
2000-05-30,168.79,170.16,167.81,168.99,168.99,6253006
2000-05-31,170.24,170.34,169.93,170.13,170.13,7358310
2000-06-01,176.03,177.68,175.44,176.56,176.56,11183118
2000-06-02,178.83,180.23,177.65,178.94,178.94,3263355
2000-06-05,185.06,185.22,184.54,184.88,184.88,7965366
2000-06-06,185.05,186.35,184.35,185.35,185.35,11523126
2000-06-07,185.32,186.94,184.6,185.77,185.77,5403725
2000-06-08,185.33,187.06,182.13,184.59,184.59,7692769
2000-06-09,182.89,184.18,181.91,183.05,183.05,5323423
2000-06-12,187.09,188.76,185.73,187.25,187.25,5328999
2000-06-13,187.09,188.63,186.27,187.45,187.45,8833948
2000-06-14,184.39,186.48,182.7,184.59,184.59,6842294
2000-06-15,180.11,182.46,179.27,180.87,180.87,1726199
2000-06-16,176.61,178.86,176.02,177.44,177.44,4695603
2000-06-19,173.4,175.0,171.93,173.47,173.47,8227930
2000-06-20,176.89,179.15,174.65,176.9,176.9,4760923
2000-06-21,176.05,177.24,175.07,176.15,176.15,8442675
2000-06-22,175.77,176.44,174.72,175.58,175.58,8822082
2000-06-23,173.66,176.53,172.02,174.28,174.28,6766768
2000-06-26,173.89,176.22,172.31,174.26,174.26,6182567
2000-06-27,173.89,176.25,173.02,174.64,174.64,6360260
2000-06-28,175.63,177.32,174.07,175.69,175.69,5432552
2000-06-29,173.87,174.47,171.68,173.08,173.08,4558864
2000-06-30,176.48,178.75,175.53,177.14,177.14,8561494
2000-07-03,179.65,180.18,179.28,179.73,179.73,4595984
2000-07-04,182.04,184.73,181.32,183.02,183.02,9723125
2000-07-05,178.28,181.57,176.18,178.87,178.87,2311050
2000-07-06,176.92,177.56,175.7,176.63,176.63,10663260
2000-07-07,175.23,175.5,174.51,175.01,175.01,9283553
2000-07-10,176.89,178.1,174.39,176.25,176.25,4951063
2000-07-11,176.3,176.93,175.35,176.14,176.14,7046979
2000-07-12,179.85,180.3,178.99,179.65,179.65,3252573
2000-07-13,179.17,180.32,177.07,178.69,178.69,4345286
2000-07-14,180.09,180.98,178.7,179.84,179.84,4481693
2000-07-17,181.32,182.4,179.21,180.81,180.81,3366281
2000-07-18,180.56,183.26,178.61,180.93,180.93,6478009
2000-07-19,180.65,181.82,179.53,180.68,180.68,7023854
2000-07-20,180.83,181.88,180.54,181.21,181.21,4364381
