,Open,High,Low,Close,Adj Close,Volume
2012-01-02,140.71,141.83,139.58,140.71,140.71,6442577
2012-01-03,142.55,143.69,141.41,142.55,142.55,7620665
2012-01-04,142.77,143.91,141.63,142.77,142.77,5241558
2012-01-05,141.45,142.58,140.32,141.45,141.45,4641025
2012-01-06,142.01,143.14,140.87,142.01,142.01,4479275
2012-01-09,140.54,141.66,139.41,140.54,140.54,4187936
2012-01-10,137.68,138.78,136.57,137.68,137.68,6119609
2012-01-11,139.78,140.89,138.66,139.78,139.78,2764564
2012-01-12,139.76,140.88,138.64,139.76,139.76,3076807
2012-01-13,143.23,144.38,142.08,143.23,143.23,3937391
2012-01-16,138.65,139.76,137.54,138.65,138.65,3260183
2012-01-17,141.28,142.41,140.15,141.28,141.28,4502351
2012-01-18,141.37,142.5,140.23,141.37,141.37,5007498
2012-01-19,139.82,140.94,138.7,139.82,139.82,5364681
2012-01-20,138.11,139.22,137.01,138.11,138.11,7571262
2012-01-23,136.42,137.51,135.33,136.42,136.42,9319835
2012-01-24,138.97,140.08,137.85,138.97,138.97,13886193
2012-01-25,138.9,140.01,137.79,138.9,138.9,6193844
2012-01-26,133.9,134.97,132.83,133.9,133.9,5066695
2012-01-27,135.35,136.43,134.26,135.35,135.35,5786797
2012-01-30,134.84,135.92,133.76,134.84,134.84,5629471
2012-01-31,136.36,137.45,135.27,136.36,136.36,3837597
2012-02-01,135.92,137.01,134.84,135.92,135.92,2068025
2012-02-02,137.22,138.32,136.12,137.22,137.22,5579088
2012-02-03,136.98,138.08,135.89,136.98,136.98,9314266
2012-02-06,141.18,142.31,140.05,141.18,141.18,3435493
2012-02-07,143.63,144.78,142.48,143.63,143.63,5548255
2012-02-08,143.51,144.66,142.36,143.51,143.51,4831814
2012-02-09,143.32,144.47,142.18,143.32,143.32,5759732
2012-02-10,146.25,147.42,145.08,146.25,146.25,5358697
2012-02-13,149.38,150.58,148.19,149.38,149.38,7083306
2012-02-14,145.25,146.41,144.09,145.25,145.25,10843879
2012-02-15,143.39,144.54,142.25,143.39,143.39,4475248
2012-02-16,142.64,143.78,141.5,142.64,142.64,6479417
2012-02-17,143.41,144.56,142.26,143.41,143.41,4745360
2012-02-20,141.49,142.62,140.36,141.49,141.49,3013437
2012-02-21,147.13,148.31,145.96,147.13,147.13,5768573
2012-02-22,147.69,148.87,146.51,147.69,147.69,2766556
2012-02-23,148.54,149.73,147.35,148.54,148.54,7731521
2012-02-24,147.9,149.08,146.71,147.9,147.9,10657478
2012-02-27,149.24,150.43,148.04,149.24,149.24,6882829
2012-02-28,152.23,153.45,151.01,152.23,152.23,2808903
2012-02-29,157.81,159.07,156.55,157.81,157.81,3656674
2012-03-01,161.68,162.97,160.39,161.68,161.68,3827803
2012-03-02,159.32,160.59,158.04,159.32,159.32,6273878
2012-03-05,156.91,158.17,155.66,156.91,156.91,3576216
2012-03-06,159.01,160.28,157.74,159.01,159.01,5111998
2012-03-07,160.75,162.04,159.46,160.75,160.75,2828183
2012-03-08,162.54,163.84,161.24,162.54,162.54,7026442
2012-03-09,158.25,159.51,156.98,158.25,158.25,4171079
2012-03-12,152.32,153.53,151.1,152.32,152.32,7569305
2012-03-13,151.63,152.84,150.41,151.63,151.63,4351145
2012-03-14,148.52,149.71,147.33,148.52,148.52,3290203
2012-03-15,153.01,154.24,151.79,153.01,153.01,8998244
2012-03-16,156.14,157.39,154.89,156.14,156.14,9938188
2012-03-19,154.83,156.07,153.59,154.83,154.83,9583328
2012-03-20,157.15,158.41,155.9,157.15,157.15,8405926
2012-03-21,158.86,160.13,157.58,158.86,158.86,3434751
2012-03-22,159.5,160.78,158.23,159.5,159.5,7901269
2012-03-23,161.07,162.36,159.78,161.07,161.07,2878813
2012-03-26,161.79,163.08,160.5,161.79,161.79,4930312
