,Open,High,Low,Close,Adj Close,Volume
2000-01-03,139.22,140.47,137.53,139.0,139.0,3369957
2000-01-04,137.75,139.97,136.39,138.18,138.18,4120353
2000-01-05,132.2,132.62,131.37,132.0,132.0,4622837
2000-01-06,131.89,132.72,130.58,131.65,131.65,2978820
2000-01-07,131.46,132.3,130.24,131.27,131.27,5528281
2000-01-10,135.99,136.02,135.9,135.96,135.96,8235988
2000-01-11,135.84,136.95,135.28,136.11,136.11,8002871
2000-01-12,137.95,138.89,137.45,138.17,138.17,7228559
2000-01-13,137.23,138.46,135.79,137.13,137.13,5723491
2000-01-14,132.09,132.55,130.45,131.5,131.5,5387470
2000-01-17,130.47,131.14,128.7,129.92,129.92,5316649
2000-01-18,128.54,129.44,128.17,128.8,128.8,7218677
2000-01-19,134.27,135.99,132.9,134.44,134.44,4924691
2000-01-20,130.38,131.66,130.02,130.84,130.84,4452183
2000-01-21,131.2,132.45,130.22,131.33,131.33,2793815
2000-01-24,132.41,132.75,132.14,132.44,132.44,4208614
2000-01-25,130.21,130.49,129.8,130.14,130.14,3980701
2000-01-26,132.63,133.49,131.32,132.4,132.4,3330394
2000-01-27,129.65,130.61,128.39,129.5,129.5,6683074
2000-01-28,128.0,129.4,126.21,127.81,127.81,3134856
2000-01-31,126.49,126.75,126.34,126.55,126.55,6255045
2000-02-01,128.82,129.96,128.29,129.13,129.13,4633090
2000-02-02,135.4,137.36,134.13,135.75,135.75,6845090
2000-02-03,139.17,140.47,138.01,139.24,139.24,5377674
2000-02-04,139.33,139.87,139.09,139.48,139.48,5880274
2000-02-07,141.09,142.81,139.86,141.33,141.33,3313159
2000-02-08,136.32,138.09,135.83,136.96,136.96,4935455
2000-02-09,138.56,139.16,138.07,138.61,138.61,7854530
2000-02-10,140.98,142.85,140.5,141.68,141.68,3292997
2000-02-11,138.79,140.15,137.13,138.64,138.64,6555842
2000-02-14,133.73,136.54,132.9,134.72,134.72,4142316
2000-02-15,133.21,133.99,132.66,133.33,133.33,6680730
2000-02-16,132.92,133.92,132.01,132.96,132.96,5481332
2000-02-17,131.09,131.29,130.63,130.96,130.96,4188705
2000-02-18,133.14,133.97,130.97,132.47,132.47,8623886
2000-02-21,128.42,128.75,127.4,128.07,128.07,5476347
2000-02-22,129.96,131.05,128.79,129.92,129.92,4065466
2000-02-23,131.35,132.37,130.79,131.58,131.58,5486929
2000-02-24,129.48,130.05,128.3,129.17,129.17,2912351
2000-02-25,133.87,134.33,133.1,133.72,133.72,6916081
2000-02-28,136.49,137.11,134.6,135.86,135.86,9892172
2000-02-29,131.29,131.89,130.46,131.18,131.18,3302111
2000-03-01,131.98,132.48,131.37,131.92,131.92,6078549
2000-03-02,128.95,130.16,128.22,129.19,129.19,3854020
2000-03-03,129.41,130.43,128.3,129.37,129.37,10330996
2000-03-06,126.77,128.02,125.68,126.85,126.85,6143960
2000-03-07,127.87,128.98,127.15,128.06,128.06,4543421
2000-03-08,127.19,128.09,126.86,127.48,127.48,10019208
2000-03-09,124.9,125.41,124.12,124.77,124.77,3689291
2000-03-10,128.11,128.93,127.48,128.2,128.2,7084402
2000-03-13,132.36,133.34,131.44,132.39,132.39,4191730
2000-03-14,130.11,131.09,127.79,129.44,129.44,5399420
2000-03-15,129.52,130.72,129.04,129.88,129.88,5471914
2000-03-16,129.73,131.69,128.61,130.15,130.15,4610833
2000-03-17,129.05,131.67,128.32,129.99,129.99,5564080
2000-03-20,128.69,129.31,127.69,128.5,128.5,2537577
2000-03-21,131.87,132.25,130.48,131.36,131.36,7537190
2000-03-22,129.77,130.2,128.34,129.27,129.27,4006537
2000-03-23,133.51,135.13,132.92,134.02,134.02,7676826
2000-03-24,133.66,134.97,131.9,133.43,133.43,5163982
2000-03-27,135.12,136.03,133.37,134.7,134.7,7146614
2000-03-28,135.44,135.91,134.54,135.23,135.23,2937618
2000-03-29,135.75,136.98,134.31,135.65,135.65,8235379
2000-03-30,136.7,137.36,135.84,136.6,136.6,8526849
2000-03-31,135.06,136.16,134.6,135.38,135.38,7114048
2000-04-03,133.98,135.64,132.42,134.03,134.03,11914739
2000-04-04,131.33,131.94,131.18,131.56,131.56,5670440
2000-04-05,128.27,130.65,127.02,128.84,128.84,4568430
2000-04-06,132.61,133.3,130.67,131.99,131.99,4885784
2000-04-07,133.32,133.83,132.64,133.23,133.23,8453596
2000-04-10,134.61,135.45,132.35,133.9,133.9,4618281
2000-04-11,134.32,136.09,133.85,134.97,134.97,3397607
2000-04-12,132.37,132.9,131.76,132.33,132.33,4540187
2000-04-13,133.54,134.44,131.15,132.79,132.79,7585723
2000-04-14,130.56,133.16,129.53,131.35,131.35,2904734
2000-04-17,136.0,136.76,133.63,135.19,135.19,6105894
2000-04-18,140.85,141.76,138.51,140.13,140.13,3722036
2000-04-19,141.66,142.93,140.36,141.65,141.65,7465654
2000-04-20,141.18,142.49,140.57,141.53,141.53,9908015
2000-04-21,142.51,144.15,141.75,142.95,142.95,6375281
2000-04-24,143.52,145.02,142.57,143.8,143.8,6251773
2000-04-25,143.79,145.43,142.68,144.06,144.06,3734485
2000-04-26,143.8,144.42,142.75,143.59,143.59,4409698
2000-04-27,146.18,146.79,144.44,145.62,145.62,8180553
2000-04-28,148.16,149.91,147.52,148.71,148.71,5109949
2000-05-01,149.49,150.17,148.76,149.46,149.46,8949782
2000-05-02,145.67,148.26,144.57,146.42,146.42,3921646
2000-05-03,150.74,151.22,149.05,150.13,150.13,4230704
2000-05-04,145.81,148.16,144.45,146.3,146.3,4013139
2000-05-05,148.53,149.9,147.98,148.94,148.94,3482447
2000-05-08,153.61,155.16,152.82,153.99,153.99,4995968
2000-05-09,151.25,153.89,150.16,152.02,152.02,3497611
2000-05-10,153.57,154.79,152.72,153.75,153.75,5171527
2000-05-11,153.86,154.46,153.59,154.03,154.03,10885678
2000-05-12,150.95,152.95,150.04,151.5,151.5,1750347
2000-05-15,149.65,150.36,147.79,149.07,149.07,3245246
2000-05-16,150.32,151.43,149.54,150.48,150.48,1695962
2000-05-17,152.85,154.82,151.09,152.96,152.96,5393219
2000-05-18,154.17,156.21,153.54,154.88,154.88,3214425
2000-05-19,154.56,156.71,152.81,154.76,154.76,5295827
2000-05-22,152.8,153.88,151.66,152.77,152.77,4547516
2000-05-23,152.19,152.6,151.73,152.17,152.17,3243319
2000-05-24,155.8,156.3,154.06,155.18,155.18,2793163
2000-05-25,157.19,159.72,155.27,157.5,157.5,8617743
2000-05-26,154.49,155.47,153.8,154.63,154.63,5712670
