,Open,High,Low,Close,Adj Close,Volume
2000-01-03,53.31,53.73,52.88,53.31,53.31,2992526
2000-01-04,52.34,52.76,51.93,52.34,52.34,3197859
2000-01-05,51.71,52.12,51.29,51.71,51.71,2590033
2000-01-06,50.47,50.88,50.07,50.47,50.47,4457142
2000-01-07,51.25,51.66,50.84,51.25,51.25,3177766
2000-01-10,52.11,52.53,51.7,52.11,52.11,2868783
2000-01-11,52.31,52.73,51.89,52.31,52.31,2854354
2000-01-12,51.61,52.02,51.2,51.61,51.61,4901895
2000-01-13,53.29,53.71,52.86,53.29,53.29,3988293
2000-01-14,53.49,53.91,53.06,53.49,53.49,3955870
2000-01-17,53.03,53.45,52.6,53.03,53.03,6492356
2000-01-18,52.43,52.85,52.01,52.43,52.43,3590683
2000-01-19,53.09,53.52,52.67,53.09,53.09,3984222
2000-01-20,51.99,52.41,51.58,51.99,51.99,6179185
2000-01-21,52.94,53.36,52.52,52.94,52.94,3023782
2000-01-24,52.91,53.34,52.49,52.91,52.91,1934706
2000-01-25,53.36,53.79,52.94,53.36,53.36,7693935
2000-01-26,54.01,54.45,53.58,54.01,54.01,5198178
2000-01-27,54.49,54.92,54.05,54.49,54.49,4802879
2000-01-28,54.42,54.85,53.98,54.42,54.42,4564985
2000-01-31,53.82,54.25,53.39,53.82,53.82,7244755
2000-02-01,52.11,52.53,51.7,52.11,52.11,5288571
2000-02-02,51.92,52.34,51.51,51.92,51.92,5992867
2000-02-03,52.75,53.17,52.33,52.75,52.75,10663097
2000-02-04,53.07,53.49,52.64,53.07,53.07,5328194
2000-02-07,52.73,53.15,52.31,52.73,52.73,5388768
2000-02-08,51.57,51.98,51.16,51.57,51.57,4549420
2000-02-09,51.12,51.53,50.71,51.12,51.12,3205316
2000-02-10,52.08,52.5,51.67,52.08,52.08,9213481
2000-02-11,52.18,52.6,51.77,52.18,52.18,4572267
2000-02-14,51.78,52.19,51.36,51.78,51.78,3232117
2000-02-15,50.99,51.39,50.58,50.99,50.99,2327650
2000-02-16,52.11,52.53,51.7,52.11,52.11,4624920
2000-02-17,51.53,51.94,51.12,51.53,51.53,8482206
2000-02-18,52.11,52.53,51.7,52.11,52.11,9358221
2000-02-21,51.31,51.72,50.9,51.31,51.31,8427382
2000-02-22,51.1,51.51,50.7,51.1,51.1,4229353
2000-02-23,50.99,51.39,50.58,50.99,50.99,6522589
2000-02-24,52.23,52.65,51.82,52.23,52.23,10788526
2000-02-25,52.59,53.01,52.17,52.59,52.59,4481300
2000-02-28,52.22,52.64,51.8,52.22,52.22,4863246
2000-02-29,51.87,52.28,51.45,51.87,51.87,6985103
2000-03-01,51.74,52.15,51.32,51.74,51.74,5165733
2000-03-02,51.89,52.31,51.48,51.89,51.89,7345847
2000-03-03,51.97,52.39,51.56,51.97,51.97,9805044
2000-03-06,52.29,52.71,51.87,52.29,52.29,4843405
2000-03-07,52.74,53.16,52.32,52.74,52.74,2762546
2000-03-08,52.83,53.25,52.41,52.83,52.83,4795836
2000-03-09,54.09,54.52,53.65,54.09,54.09,6830079
2000-03-10,53.7,54.12,53.27,53.7,53.7,3159347
2000-03-13,55.54,55.98,55.09,55.54,55.54,4732527
