,Open,High,Low,Close,Adj Close,Volume
2000-01-03,210.88,211.68,210.32,211.0,211.0,5793594
2000-01-04,208.29,209.93,205.67,207.8,207.8,5683515
2000-01-05,211.0,212.07,209.76,210.92,210.92,5905057
2000-01-06,208.07,209.48,206.94,208.21,208.21,7326856
2000-01-07,210.49,212.71,208.49,210.6,210.6,10955227
2000-01-10,210.64,211.33,209.16,210.24,210.24,3094381
2000-01-11,208.97,211.06,206.52,208.79,208.79,4567429
2000-01-12,205.17,206.77,201.74,204.25,204.25,4745988
2000-01-13,204.74,205.65,204.39,205.02,205.02,4118630
2000-01-14,206.25,206.68,205.26,205.97,205.97,6585987
2000-01-17,205.9,206.29,204.4,205.35,205.35,2434388
2000-01-18,207.33,208.93,206.41,207.67,207.67,5581666
2000-01-19,201.49,201.93,200.71,201.32,201.32,6244462
2000-01-20,203.19,204.83,201.26,203.05,203.05,4457142
2000-01-21,203.95,205.95,201.53,203.74,203.74,4546900
2000-01-24,203.97,207.49,201.58,204.54,204.54,3840969
2000-01-25,202.45,203.48,201.45,202.46,202.46,3686577
2000-01-26,207.18,208.58,204.95,206.76,206.76,6786120
2000-01-27,204.82,206.69,202.88,204.78,204.78,2171771
2000-01-28,202.31,203.78,201.7,202.74,202.74,4520815
2000-01-31,203.06,204.29,202.13,203.21,203.21,7373243
2000-02-01,208.1,208.83,206.98,207.91,207.91,5585006
2000-02-02,214.44,216.77,213.37,215.07,215.07,8155484
2000-02-03,217.84,219.12,215.89,217.5,217.5,5565719
2000-02-04,219.99,221.91,216.31,219.11,219.11,8292037
2000-02-07,221.85,223.67,220.22,221.94,221.94,7092750
2000-02-08,221.77,223.03,220.08,221.56,221.56,3010736
2000-02-09,221.8,223.66,220.8,222.23,222.23,7071382
2000-02-10,218.44,220.37,217.86,219.12,219.12,6614448
2000-02-11,221.4,225.7,219.62,222.66,222.66,5887719
2000-02-14,216.98,220.42,214.9,217.66,217.66,4283109
2000-02-15,221.29,223.04,218.61,220.82,220.82,5311792
2000-02-16,221.65,222.99,220.71,221.85,221.85,3356335
2000-02-17,224.0,226.59,223.26,224.93,224.93,2710654
2000-02-18,228.21,228.47,227.33,227.9,227.9,3126404
2000-02-21,228.63,230.51,227.21,228.86,228.86,2631182
2000-02-22,225.01,229.15,222.14,225.65,225.65,10590599
2000-02-23,223.75,227.79,222.73,225.26,225.26,4530719
2000-02-24,218.89,222.58,217.93,220.25,220.25,6389078
2000-02-25,215.53,216.45,215.15,215.8,215.8,3265556
2000-02-28,222.1,223.91,219.13,221.52,221.52,4392514
2000-02-29,225.12,226.78,222.98,224.88,224.88,4281986
2000-03-01,228.28,228.56,227.75,228.16,228.16,4338594
2000-03-02,226.92,230.51,225.3,227.91,227.91,8690423
2000-03-03,229.18,230.37,228.29,229.33,229.33,4449071
2000-03-06,234.66,235.67,230.76,233.22,233.22,5532190
2000-03-07,234.84,237.92,233.19,235.55,235.55,5665490
2000-03-08,234.98,237.57,233.39,235.48,235.48,6097083
2000-03-09,237.97,238.43,236.23,237.33,237.33,7332543
2000-03-10,235.34,236.2,232.11,234.15,234.15,6997698
2000-03-13,242.05,242.92,239.89,241.41,241.41,8112259
2000-03-14,247.64,248.46,244.73,246.59,246.59,7540325
2000-03-15,241.26,242.9,239.56,241.23,241.23,4946607
2000-03-16,238.85,239.68,235.73,237.71,237.71,7395213
2000-03-17,239.99,241.34,235.48,238.41,238.41,4183370
2000-03-20,244.77,248.02,243.07,245.55,245.55,4858811
2000-03-21,239.84,241.16,235.38,238.27,238.27,4548870
2000-03-22,235.4,235.6,235.2,235.4,235.4,5012789
2000-03-23,235.76,238.08,233.7,235.89,235.89,8933837
