,Open,High,Low,Close,Adj Close,Volume
2012-01-02,90.2,90.93,89.48,90.2,90.2,4385458
2012-01-03,91.47,92.2,90.74,91.47,91.47,3505086
2012-01-04,92.42,93.16,91.68,92.42,92.42,5272657
2012-01-05,92.62,93.36,91.88,92.62,92.62,4787020
2012-01-06,90.65,91.37,89.92,90.65,90.65,3523075
2012-01-09,91.69,92.43,90.96,91.69,91.69,4570089
2012-01-10,93.33,94.08,92.58,93.33,93.33,5937047
2012-01-11,93.67,94.42,92.92,93.67,93.67,4178062
2012-01-12,94.69,95.45,93.93,94.69,94.69,9001356
2012-01-13,92.34,93.08,91.6,92.34,92.34,6142985
2012-01-16,92.89,93.63,92.15,92.89,92.89,8762557
2012-01-17,93.65,94.39,92.9,93.65,93.65,7023758
2012-01-18,96.48,97.26,95.71,96.48,96.48,9814902
2012-01-19,98.04,98.82,97.25,98.04,98.04,7953023
2012-01-20,99.2,99.99,98.4,99.2,99.2,6471779
2012-01-23,99.94,100.74,99.14,99.94,99.94,5900117
2012-01-24,100.8,101.6,99.99,100.8,100.8,2672420
2012-01-25,100.49,101.29,99.68,100.49,100.49,6382639
2012-01-26,100.94,101.75,100.14,100.94,100.94,5821693
2012-01-27,97.25,98.03,96.47,97.25,97.25,6148340
2012-01-30,95.35,96.11,94.58,95.35,95.35,2444048
2012-01-31,93.47,94.22,92.72,93.47,93.47,4970849
2012-02-01,93.33,94.07,92.58,93.33,93.33,4104453
2012-02-02,93.29,94.04,92.54,93.29,93.29,5636816
2012-02-03,91.27,92.0,90.54,91.27,91.27,5094690
2012-02-06,91.27,92.0,90.54,91.27,91.27,3638479
2012-02-07,90.56,91.29,89.84,90.56,90.56,4222003
2012-02-08,89.66,90.38,88.94,89.66,89.66,4471635
2012-02-09,87.82,88.52,87.11,87.82,87.82,5237168
2012-02-10,88.5,89.2,87.79,88.5,88.5,6680829
2012-02-13,87.78,88.48,87.08,87.78,87.78,4069479
2012-02-14,85.88,86.56,85.19,85.88,85.88,6850539
2012-02-15,84.73,85.41,84.06,84.73,84.73,3730711
2012-02-16,85.75,86.43,85.06,85.75,85.75,9013723
2012-02-17,87.81,88.51,87.1,87.81,87.81,3810701
2012-02-20,87.24,87.93,86.54,87.24,87.24,6396157
2012-02-21,87.79,88.49,87.09,87.79,87.79,3389229
2012-02-22,89.55,90.27,88.83,89.55,89.55,8849921
2012-02-23,88.95,89.66,88.24,88.95,88.95,5475710
2012-02-24,89.88,90.59,89.16,89.88,89.88,7767164
2012-02-27,90.13,90.86,89.41,90.13,90.13,3570196
2012-02-28,91.81,92.54,91.07,91.81,91.81,5396930
2012-02-29,91.43,92.16,90.7,91.43,91.43,4341607
2012-03-01,89.52,90.23,88.8,89.52,89.52,7038775
2012-03-02,92.24,92.97,91.5,92.24,92.24,7691131
2012-03-05,93.19,93.94,92.45,93.19,93.19,3433915
2012-03-06,91.8,92.53,91.06,91.8,91.8,6458779
2012-03-07,89.96,90.67,89.24,89.96,89.96,5096654
2012-03-08,90.03,90.75,89.31,90.03,90.03,5774544
2012-03-09,91.3,92.03,90.57,91.3,91.3,8477731
2012-03-12,91.55,92.28,90.81,91.55,91.55,7093337
2012-03-13,91.68,92.41,90.94,91.68,91.68,6217335
2012-03-14,90.04,90.76,89.32,90.04,90.04,6616582
2012-03-15,89.85,90.57,89.13,89.85,89.85,4753204
2012-03-16,91.45,92.18,90.71,91.45,91.45,8207308
2012-03-19,91.17,91.89,90.44,91.17,91.17,3936306
2012-03-20,91.96,92.7,91.22,91.96,91.96,3093348
2012-03-21,93.97,94.72,93.21,93.97,93.97,4691567
2012-03-22,96.07,96.83,95.3,96.07,96.07,4026034
2012-03-23,94.9,95.65,94.14,94.9,94.9,6604723
2012-03-26,97.87,98.65,97.09,97.87,97.87,6463034
2012-03-27,99.11,99.9,98.32,99.11,99.11,5456630
2012-03-28,98.51,99.3,97.72,98.51,98.51,7267385
2012-03-29,96.27,97.04,95.5,96.27,96.27,5055213
2012-03-30,96.52,97.29,95.75,96.52,96.52,4782861
2012-04-02,99.54,100.33,98.74,99.54,99.54,5489572
2012-04-03,95.73,96.49,94.96,95.73,95.73,3757068
2012-04-04,95.5,96.27,94.74,95.5,95.5,3100249
2012-04-05,96.98,97.75,96.2,96.98,96.98,7681548
2012-04-06,99.07,99.87,98.28,99.07,99.07,3973744
2012-04-09,99.05,99.84,98.25,99.05,99.05,5647473
2012-04-10,97.81,98.59,97.03,97.81,97.81,4884040
2012-04-11,97.9,98.68,97.12,97.9,97.9,4752818
2012-04-12,98.53,99.32,97.75,98.53,98.53,5068583
2012-04-13,96.14,96.91,95.37,96.14,96.14,2757141
2012-04-16,95.05,95.81,94.29,95.05,95.05,4930484
2012-04-17,95.68,96.45,94.92,95.68,95.68,6991063
2012-04-18,95.66,96.43,94.9,95.66,95.66,2426166
2012-04-19,96.78,97.56,96.01,96.78,96.78,4766651
2012-04-20,96.27,97.04,95.5,96.27,96.27,7702283
