,Open,High,Low,Close,Adj Close,Volume
2000-01-03,30.06,30.3,29.82,30.06,30.06,3214008
2000-01-04,29.4,29.63,29.16,29.4,29.4,4400091
2000-01-05,29.64,29.88,29.41,29.64,29.64,12866657
2000-01-06,29.12,29.35,28.88,29.12,29.12,8751624
2000-01-07,29.19,29.43,28.96,29.19,29.19,10585705
2000-01-10,28.57,28.8,28.34,28.57,28.57,6865080
2000-01-11,29.55,29.78,29.31,29.55,29.55,3913627
2000-01-12,29.68,29.92,29.45,29.68,29.68,6862012
2000-01-13,29.6,29.84,29.36,29.6,29.6,17678820
2000-01-14,29.57,29.81,29.34,29.57,29.57,3155828
2000-01-17,30.62,30.86,30.37,30.62,30.62,8060983
2000-01-18,30.88,31.12,30.63,30.88,30.88,9317374
2000-01-19,30.98,31.23,30.73,30.98,30.98,4276660
2000-01-20,30.87,31.12,30.63,30.87,30.87,5260128
2000-01-21,30.86,31.1,30.61,30.86,30.86,4787917
2000-01-24,30.35,30.59,30.11,30.35,30.35,3758665
2000-01-25,30.02,30.26,29.78,30.02,30.02,18735290
2000-01-26,30.4,30.65,30.16,30.4,30.4,5412927
2000-01-27,30.0,30.24,29.76,30.0,30.0,1712714
2000-01-28,30.34,30.59,30.1,30.34,30.34,3684074
2000-01-31,30.97,31.22,30.72,30.97,30.97,5456073
2000-02-01,31.28,31.53,31.03,31.28,31.28,8019801
2000-02-02,30.61,30.86,30.37,30.61,30.61,5363190
2000-02-03,30.66,30.9,30.41,30.66,30.66,2562566
2000-02-04,30.57,30.81,30.32,30.57,30.57,7414208
2000-02-07,30.33,30.58,30.09,30.33,30.33,3415190
2000-02-08,30.59,30.84,30.35,30.59,30.59,5953618
2000-02-09,30.45,30.69,30.2,30.45,30.45,13585673
2000-02-10,30.98,31.23,30.73,30.98,30.98,2971760
2000-02-11,31.46,31.71,31.21,31.46,31.46,7852174
2000-02-14,31.95,32.21,31.69,31.95,31.95,12038133
2000-02-15,31.88,32.14,31.63,31.88,31.88,5722342
2000-02-16,32.15,32.41,31.89,32.15,32.15,2276045
2000-02-17,32.02,32.28,31.76,32.02,32.02,3289576
2000-02-18,32.92,33.18,32.66,32.92,32.92,2899496
2000-02-21,33.05,33.31,32.78,33.05,33.05,4780866
2000-02-22,32.82,33.08,32.56,32.82,32.82,10040892
2000-02-23,32.51,32.77,32.25,32.51,32.51,3424019
2000-02-24,32.05,32.31,31.8,32.05,32.05,7369573
2000-02-25,31.58,31.83,31.32,31.58,31.58,5426845
2000-02-28,31.95,32.21,31.7,31.95,31.95,8249079
2000-02-29,31.37,31.62,31.12,31.37,31.37,13824616
2000-03-01,30.65,30.9,30.41,30.65,30.65,7620153
2000-03-02,30.66,30.9,30.41,30.66,30.66,5563161
2000-03-03,30.75,31.0,30.5,30.75,30.75,11718126
2000-03-06,30.74,30.99,30.5,30.74,30.74,4367523
2000-03-07,31.22,31.47,30.97,31.22,31.22,6756434
2000-03-08,30.88,31.13,30.64,30.88,30.88,3297296
2000-03-09,30.51,30.76,30.27,30.51,30.51,6847212
2000-03-10,30.83,31.07,30.58,30.83,30.83,5144878
2000-03-13,30.78,31.03,30.53,30.78,30.78,8386637
2000-03-14,31.61,31.86,31.36,31.61,31.61,3186644
2000-03-15,31.75,32.01,31.5,31.75,31.75,10191692
2000-03-16,31.08,31.32,30.83,31.08,31.08,4960548
2000-03-17,30.91,31.15,30.66,30.91,30.91,5778148
2000-03-20,31.01,31.26,30.76,31.01,31.01,6081185
2000-03-21,30.96,31.2,30.71,30.96,30.96,5800787
2000-03-22,31.29,31.54,31.04,31.29,31.29,3488465
2000-03-23,30.94,31.18,30.69,30.94,30.94,5100390
2000-03-24,30.69,30.93,30.44,30.69,30.69,4519178
2000-03-27,30.24,30.48,30.0,30.24,30.24,6281869
2000-03-28,29.66,29.9,29.42,29.66,29.66,5975998
2000-03-29,30.28,30.53,30.04,30.28,30.28,8467475
2000-03-30,29.98,30.21,29.74,29.98,29.98,2414766
2000-03-31,30.38,30.63,30.14,30.38,30.38,10282210
2000-04-03,30.3,30.54,30.06,30.3,30.3,9851186
