,Open,High,Low,Close,Adj Close,Volume
2000-01-03,210.89,212.74,207.26,210.0,210.0,8503781
2000-01-04,220.68,222.54,219.0,220.77,220.77,6134067
2000-01-05,215.46,218.49,213.56,216.02,216.02,9015879
2000-01-06,217.77,218.87,217.41,218.14,218.14,9187657
2000-01-07,217.05,218.28,216.33,217.3,217.3,7201738
2000-01-10,217.68,220.43,216.4,218.42,218.42,6260274
2000-01-11,224.78,227.21,222.52,224.86,224.86,9900195
2000-01-12,230.86,234.29,228.72,231.5,231.5,4130321
2000-01-13,227.3,228.48,226.4,227.44,227.44,6677712
2000-01-14,229.3,231.34,227.4,229.37,229.37,5248210
2000-01-17,235.13,237.92,233.73,235.83,235.83,2802370
2000-01-18,244.53,245.72,242.15,243.94,243.94,4542536
2000-01-19,241.01,243.12,238.15,240.63,240.63,2818593
2000-01-20,247.26,250.1,246.18,248.14,248.14,4804421
2000-01-21,260.69,262.07,256.44,259.25,259.25,6055503
2000-01-24,258.78,260.15,256.16,258.16,258.16,4352327
2000-01-25,258.13,259.06,257.39,258.22,258.22,6331754
2000-01-26,271.56,272.87,266.79,269.83,269.83,4856538
2000-01-27,276.38,277.73,271.93,274.83,274.83,5237514
2000-01-28,272.84,275.6,271.48,273.54,273.54,7943623
2000-01-31,271.66,274.84,270.48,272.66,272.66,4132940
2000-02-01,271.15,272.77,268.83,270.8,270.8,5618908
2000-02-02,277.6,279.35,272.27,275.81,275.81,3931699
2000-02-03,268.81,269.99,266.06,268.03,268.03,4438760
2000-02-04,268.33,269.93,265.02,267.48,267.48,8409090
2000-02-07,263.16,264.73,261.71,263.22,263.22,4368543
2000-02-08,261.11,261.9,258.73,260.32,260.32,7426209
2000-02-09,258.88,261.38,257.37,259.38,259.38,6920554
2000-02-10,251.85,254.52,250.89,252.7,252.7,2935598
2000-02-11,252.85,255.07,250.91,252.99,252.99,7000508
2000-02-14,251.7,254.62,250.26,252.44,252.44,4304873
2000-02-15,254.22,255.64,250.11,252.87,252.87,4289884
2000-02-16,255.6,258.1,253.81,255.95,255.95,5887417
2000-02-17,252.53,252.96,251.62,252.29,252.29,5500232
2000-02-18,246.54,247.13,245.85,246.49,246.49,14108024
2000-02-21,240.56,241.69,237.85,239.77,239.77,5404681
2000-02-22,237.74,239.62,236.21,237.91,237.91,6621889
2000-02-23,234.69,237.06,233.82,235.44,235.44,4783758
2000-02-24,237.82,240.02,237.17,238.59,238.59,6078975
2000-02-25,237.46,238.54,234.35,236.44,236.44,6798686
2000-02-28,235.03,237.76,233.54,235.65,235.65,4617237
2000-02-29,233.54,236.56,232.58,234.57,234.57,10451508
2000-03-01,231.67,233.72,227.43,230.57,230.57,9590480
2000-03-02,233.7,235.37,233.19,234.28,234.28,5270949
2000-03-03,235.63,236.29,233.71,235.0,235.0,4665329
2000-03-06,223.97,226.94,222.49,224.71,224.71,5348587
2000-03-07,232.23,233.54,229.94,231.74,231.74,6812687
2000-03-08,228.46,229.77,226.19,227.98,227.98,5536609
2000-03-09,232.01,233.49,230.35,231.92,231.92,7046098
2000-03-10,231.77,234.23,229.53,231.88,231.88,6129042
2000-03-13,236.04,236.47,234.59,235.53,235.53,7974998
2000-03-14,241.69,244.22,241.02,242.62,242.62,6260131
2000-03-15,244.93,248.09,243.76,245.92,245.92,7639765
2000-03-16,248.99,250.97,247.39,249.18,249.18,5677775
2000-03-17,246.56,247.49,243.58,245.54,245.54,7530951
2000-03-20,238.8,241.17,237.33,239.25,239.25,10011243
2000-03-21,235.92,238.46,235.17,236.82,236.82,5680193
2000-03-22,233.5,234.26,232.02,233.14,233.14,5903409
2000-03-23,236.53,238.15,235.9,237.03,237.03,6302386
2000-03-24,234.7,235.5,233.93,234.72,234.72,4877779
2000-03-27,231.77,232.49,231.25,231.87,231.87,6761301
2000-03-28,232.44,235.21,228.97,232.09,232.09,5837061
2000-03-29,228.66,229.74,227.53,228.64,228.64,4141304
2000-03-30,228.22,230.28,226.91,228.6,228.6,8238849
2000-03-31,225.62,226.14,223.88,225.01,225.01,6114345
2000-04-03,231.83,234.24,228.01,231.13,231.13,8567266
2000-04-04,231.32,231.8,230.53,231.16,231.16,7378659
2000-04-05,233.46,235.62,231.57,233.6,233.6,4985954
2000-04-06,231.85,233.62,229.1,231.36,231.36,8835913
2000-04-07,236.44,238.25,233.99,236.12,236.12,6218037
2000-04-10,234.49,238.74,232.65,235.7,235.7,5147830
2000-04-11,243.16,245.09,241.06,243.07,243.07,4621140
2000-04-12,246.2,249.2,244.17,246.68,246.68,7108193
2000-04-13,241.33,244.21,240.36,242.29,242.29,3885267
2000-04-14,243.96,246.19,241.5,243.85,243.85,6618244
2000-04-17,247.6,249.2,246.24,247.72,247.72,5227153
2000-04-18,245.71,246.45,243.17,244.81,244.81,3686752
2000-04-19,241.25,242.41,238.57,240.49,240.49,3105702
2000-04-20,239.79,240.7,236.64,238.67,238.67,3697361
2000-04-21,237.89,239.34,236.36,237.85,237.85,4537249
2000-04-24,237.96,239.61,233.13,236.37,236.37,4228600
2000-04-25,243.91,245.68,241.01,243.34,243.34,6751459
2000-04-26,242.91,245.84,240.99,243.42,243.42,1943541
2000-04-27,242.08,243.42,238.95,241.19,241.19,9267843
2000-04-28,229.16,231.72,227.13,229.42,229.42,6285335
2000-05-01,238.41,240.9,236.72,238.81,238.81,9268538
2000-05-02,238.64,240.57,234.83,237.7,237.7,7090274
2000-05-03,242.64,244.11,239.66,241.89,241.89,2081280
