,Open,High,Low,Close,Adj Close,Volume
2000-01-03,155.23,156.48,153.99,155.23,155.23,8117410
2000-01-04,152.29,153.51,151.07,152.29,152.29,3840944
2000-01-05,151.76,152.98,150.55,151.76,151.76,3713297
2000-01-06,153.95,155.18,152.72,153.95,153.95,7981647
2000-01-07,152.79,154.01,151.57,152.79,152.79,4175896
2000-01-10,154.89,156.13,153.65,154.89,154.89,3803376
2000-01-11,154.05,155.28,152.82,154.05,154.05,7921938
2000-01-12,152.03,153.24,150.81,152.03,152.03,4129800
2000-01-13,149.11,150.3,147.92,149.11,149.11,4314346
2000-01-14,150.79,151.99,149.58,150.79,150.79,7160931
2000-01-17,155.09,156.33,153.85,155.09,155.09,7526879
2000-01-18,154.99,156.23,153.75,154.99,154.99,5168987
2000-01-19,152.96,154.19,151.74,152.96,152.96,3805879
2000-01-20,151.43,152.64,150.22,151.43,151.43,6059513
2000-01-21,156.14,157.39,154.9,156.14,156.14,4877447
2000-01-24,159.28,160.56,158.01,159.28,159.28,3318920
2000-01-25,160.88,162.16,159.59,160.88,160.88,4245737
2000-01-26,162.82,164.13,161.52,162.82,162.82,7146305
2000-01-27,163.37,164.68,162.06,163.37,163.37,3256351
2000-01-28,166.53,167.87,165.2,166.53,166.53,4874595
2000-01-31,163.59,164.89,162.28,163.59,163.59,5690378
2000-02-01,161.4,162.69,160.11,161.4,161.4,5588103
2000-02-02,161.97,163.27,160.68,161.97,161.97,2936893
2000-02-03,159.76,161.04,158.49,159.76,159.76,7303384
2000-02-04,157.23,158.49,155.97,157.23,157.23,4666898
2000-02-07,158.61,159.88,157.34,158.61,158.61,5468096
2000-02-08,161.37,162.67,160.08,161.37,161.37,8042577
2000-02-09,157.26,158.51,156.0,157.26,157.26,3605397
2000-02-10,155.66,156.91,154.42,155.66,155.66,4515943
2000-02-11,154.53,155.76,153.29,154.53,154.53,3855160
2000-02-14,152.51,153.73,151.29,152.51,152.51,5576501
2000-02-15,153.78,155.01,152.55,153.78,153.78,5815953
2000-02-16,158.71,159.98,157.44,158.71,158.71,7799334
2000-02-17,156.91,158.17,155.66,156.91,156.91,10034890
2000-02-18,160.6,161.89,159.32,160.6,160.6,9150900
2000-02-21,158.0,159.27,156.74,158.0,158.0,7587700
2000-02-22,159.07,160.34,157.79,159.07,159.07,3958057
2000-02-23,158.11,159.38,156.85,158.11,158.11,3638798
2000-02-24,158.88,160.15,157.61,158.88,158.88,5028448
2000-02-25,165.48,166.81,164.16,165.48,165.48,10586068
2000-02-28,167.45,168.79,166.11,167.45,167.45,3564831
2000-02-29,166.17,167.5,164.84,166.17,166.17,5250070
2000-03-01,161.63,162.92,160.34,161.63,161.63,2868646
2000-03-02,161.95,163.25,160.66,161.95,161.95,4766777
2000-03-03,160.59,161.87,159.3,160.59,160.59,4518101
2000-03-06,160.29,161.58,159.01,160.29,160.29,5188113
2000-03-07,159.85,161.13,158.57,159.85,159.85,6675317
2000-03-08,162.77,164.07,161.47,162.77,162.77,4498483
2000-03-09,161.65,162.94,160.35,161.65,161.65,6388148
2000-03-10,161.7,162.99,160.4,161.7,161.7,3539485
2000-03-13,161.8,163.1,160.51,161.8,161.8,2295895
2000-03-14,163.05,164.36,161.75,163.05,163.05,7757668
2000-03-15,160.43,161.71,159.14,160.43,160.43,8028712
2000-03-16,162.95,164.25,161.65,162.95,162.95,9023234
2000-03-17,161.81,163.1,160.51,161.81,161.81,3703357
2000-03-20,161.94,163.23,160.64,161.94,161.94,4389661
2000-03-21,162.64,163.95,161.34,162.64,162.64,5532431
2000-03-22,163.94,165.25,162.63,163.94,163.94,2729181
2000-03-23,165.14,166.47,163.82,165.14,165.14,9913404
2000-03-24,161.32,162.61,160.03,161.32,161.32,6522913
2000-03-27,158.34,159.61,157.07,158.34,158.34,13273190
2000-03-28,157.73,159.0,156.47,157.73,157.73,10113767
2000-03-29,156.48,157.73,155.23,156.48,156.48,5110018
2000-03-30,159.11,160.38,157.84,159.11,159.11,6382158
2000-03-31,159.27,160.54,157.99,159.27,159.27,6972049
2000-04-03,158.29,159.56,157.03,158.29,158.29,4149391
2000-04-04,160.43,161.71,159.15,160.43,160.43,2780624
2000-04-05,161.92,163.21,160.62,161.92,161.92,5737831
2000-04-06,158.61,159.88,157.34,158.61,158.61,7948110
2000-04-07,164.06,165.37,162.74,164.06,164.06,6560147
2000-04-10,166.53,167.86,165.2,166.53,166.53,5187969
2000-04-11,166.97,168.31,165.64,166.97,166.97,11480361
2000-04-12,168.98,170.33,167.63,168.98,168.98,7080547
2000-04-13,174.15,175.54,172.75,174.15,174.15,6664040
2000-04-14,177.74,179.16,176.32,177.74,177.74,7622426
2000-04-17,181.98,183.44,180.53,181.98,181.98,9199461
2000-04-18,179.6,181.03,178.16,179.6,179.6,3117744
2000-04-19,182.33,183.79,180.87,182.33,182.33,7564175
2000-04-20,184.77,186.25,183.29,184.77,184.77,5006752
2000-04-21,188.04,189.54,186.53,188.04,188.04,10951323
2000-04-24,186.78,188.27,185.28,186.78,186.78,6087317
2000-04-25,186.45,187.94,184.96,186.45,186.45,3266114
2000-04-26,184.32,185.79,182.84,184.32,184.32,4091909
2000-04-27,185.78,187.27,184.29,185.78,185.78,8394219
2000-04-28,191.82,193.35,190.28,191.82,191.82,5846574
2000-05-01,195.85,197.42,194.28,195.85,195.85,7852958
2000-05-02,194.21,195.77,192.66,194.21,194.21,3260607
2000-05-03,194.13,195.68,192.57,194.13,194.13,1564704
2000-05-04,199.38,200.97,197.78,199.38,199.38,4351665
2000-05-05,202.46,204.08,200.84,202.46,202.46,12162741
2000-05-08,196.99,198.56,195.41,196.99,196.99,5686822
2000-05-09,197.84,199.42,196.26,197.84,197.84,9499222
2000-05-10,201.57,203.18,199.95,201.57,201.57,5744627
2000-05-11,202.06,203.67,200.44,202.06,202.06,3478137
2000-05-12,202.99,204.61,201.36,202.99,202.99,5073559
2000-05-15,206.49,208.14,204.83,206.49,206.49,4453414
2000-05-16,213.85,215.56,212.13,213.85,213.85,5892043
2000-05-17,209.88,211.56,208.2,209.88,209.88,3656238
2000-05-18,210.33,212.01,208.64,210.33,210.33,10385356
2000-05-19,209.98,211.66,208.3,209.98,209.98,6616474
2000-05-22,213.61,215.32,211.9,213.61,213.61,3811014
2000-05-23,210.18,211.86,208.49,210.18,210.18,10048640
2000-05-24,208.0,209.67,206.34,208.0,208.0,4388861
2000-05-25,202.6,204.22,200.98,202.6,202.6,3813430
2000-05-26,204.0,205.63,202.37,204.0,204.0,6542268
2000-05-29,206.59,208.25,204.94,206.59,206.59,4643021
2000-05-30,203.53,205.16,201.91,203.53,203.53,7437993
2000-05-31,202.86,204.48,201.23,202.86,202.86,7377928
2000-06-01,202.56,204.18,200.94,202.56,202.56,5225466
2000-06-02,200.84,202.45,199.24,200.84,200.84,7075577
2000-06-05,200.22,201.82,198.61,200.22,200.22,5769632
2000-06-06,204.67,206.31,203.04,204.67,204.67,4954784
2000-06-07,204.38,206.02,202.74,204.38,204.38,4596974
2000-06-08,202.57,204.19,200.95,202.57,202.57,6789091
2000-06-09,201.03,202.63,199.42,201.03,201.03,2289470
2000-06-12,197.39,198.97,195.82,197.39,197.39,6546174
2000-06-13,196.62,198.19,195.04,196.62,196.62,5343355
2000-06-14,193.83,195.38,192.28,193.83,193.83,3817876
2000-06-15,202.07,203.69,200.46,202.07,202.07,5132967
2000-06-16,205.8,207.44,204.15,205.8,205.8,6198005
2000-06-19,204.66,206.3,203.03,204.66,204.66,5958335
2000-06-20,207.68,209.34,206.02,207.68,207.68,5145158
2000-06-21,208.3,209.96,206.63,208.3,208.3,6276531
2000-06-22,202.36,203.98,200.74,202.36,202.36,7972856
2000-06-23,204.53,206.17,202.9,204.53,204.53,9650790
2000-06-26,208.31,209.98,206.65,208.31,208.31,9011565
2000-06-27,214.19,215.9,212.48,214.19,214.19,2801648
2000-06-28,214.78,216.5,213.06,214.78,214.78,5034447
2000-06-29,211.19,212.88,209.5,211.19,211.19,7625624
2000-06-30,208.13,209.8,206.47,208.13,208.13,15841032
2000-07-03,210.52,212.2,208.83,210.52,210.52,6370607
2000-07-04,207.65,209.31,205.99,207.65,207.65,6296930
2000-07-05,206.7,208.35,205.04,206.7,206.7,4492085
2000-07-06,207.22,208.88,205.56,207.22,207.22,11231312
2000-07-07,206.95,208.61,205.3,206.95,206.95,6984079
2000-07-10,207.72,209.38,206.06,207.72,207.72,3615161
2000-07-11,210.33,212.01,208.64,210.33,210.33,6601203
2000-07-12,211.38,213.08,209.69,211.38,211.38,5004185
2000-07-13,217.68,219.42,215.94,217.68,217.68,5821055
2000-07-14,219.42,221.17,217.66,219.42,219.42,4799548
2000-07-17,217.44,219.18,215.7,217.44,217.44,7032419
2000-07-18,217.93,219.67,216.19,217.93,217.93,4381511
2000-07-19,217.52,219.26,215.78,217.52,217.52,3447376
2000-07-20,213.89,215.6,212.18,213.89,213.89,7733066
2000-07-21,211.97,213.67,210.28,211.97,211.97,4781570
2000-07-24,208.85,210.53,207.18,208.85,208.85,8378298
2000-07-25,207.19,208.85,205.53,207.19,207.19,3061869
2000-07-26,209.23,210.91,207.56,209.23,209.23,10197578
2000-07-27,207.74,209.41,206.08,207.74,207.74,3609251
2000-07-28,206.49,208.15,204.84,206.49,206.49,5322342
2000-07-31,209.64,211.32,207.97,209.64,209.64,6885473
2000-08-01,204.79,206.43,203.15,204.79,204.79,7009714
2000-08-02,199.25,200.85,197.66,199.25,199.25,3517386
2000-08-03,199.55,201.15,197.95,199.55,199.55,6305234
2000-08-04,200.67,202.28,199.07,200.67,200.67,4010401
2000-08-07,198.82,200.42,197.23,198.82,198.82,7180489
2000-08-08,199.86,201.46,198.26,199.86,199.86,5417199
