,Open,High,Low,Close,Adj Close,Volume
2000-01-03,83.97,84.43,83.57,84.0,84.0,5842330
2000-01-04,84.73,85.23,84.59,84.91,84.91,5937075
2000-01-05,86.21,87.01,85.04,86.03,86.03,6470389
2000-01-06,87.31,87.9,86.13,87.01,87.01,4469028
2000-01-07,87.24,88.38,86.9,87.64,87.64,6794174
2000-01-10,88.18,89.14,87.69,88.42,88.42,8782472
2000-01-11,88.45,89.46,88.01,88.73,88.73,3694055
2000-01-12,88.73,89.91,88.33,89.12,89.12,7201459
2000-01-13,89.02,89.66,88.06,88.86,88.86,6884687
2000-01-14,87.76,88.56,87.38,87.97,87.97,4320380
2000-01-17,87.92,89.19,87.52,88.35,88.35,4117689
2000-01-18,90.95,91.46,89.79,90.63,90.63,3476897
2000-01-19,89.63,90.12,88.66,89.39,89.39,7926662
2000-01-20,89.99,90.24,89.17,89.71,89.71,8769108
2000-01-21,88.44,88.7,88.26,88.48,88.48,14576335
2000-01-24,87.85,88.42,87.64,88.03,88.03,5407308
2000-01-25,88.64,89.26,87.24,88.25,88.25,4095032
2000-01-26,89.35,89.76,88.43,89.09,89.09,3675722
2000-01-27,89.69,90.41,88.93,89.67,89.67,4260786
2000-01-28,88.6,89.15,87.15,88.15,88.15,7336836
2000-01-31,87.61,88.27,86.13,87.2,87.2,4249482
2000-02-01,86.49,87.45,84.89,86.17,86.17,2414905
2000-02-02,84.94,86.37,84.23,85.3,85.3,2535779
2000-02-03,83.98,84.83,83.67,84.25,84.25,6909101
2000-02-04,83.7,84.17,82.42,83.29,83.29,4520012
2000-02-07,82.61,83.45,81.8,82.62,82.62,4478367
2000-02-08,82.5,83.09,82.11,82.6,82.6,3530381
2000-02-09,81.62,82.1,81.26,81.68,81.68,4477943
2000-02-10,83.74,84.33,83.48,83.91,83.91,8615625
2000-02-11,83.05,83.81,82.84,83.32,83.32,6194895
2000-02-14,83.33,84.44,82.99,83.71,83.71,3138869
2000-02-15,83.52,83.95,82.98,83.46,83.46,3212495
2000-02-16,81.42,82.5,80.77,81.63,81.63,5074268
2000-02-17,81.23,81.65,80.98,81.31,81.31,3533288
2000-02-18,81.72,82.62,81.17,81.9,81.9,6377155
2000-02-21,80.9,81.66,80.38,81.02,81.02,5842433
2000-02-22,82.71,83.39,81.43,82.41,82.41,5011710
2000-02-23,82.52,83.62,81.75,82.68,82.68,6301620
2000-02-24,84.24,84.49,83.72,84.11,84.11,4779754
2000-02-25,84.72,85.04,83.51,84.27,84.27,4886960
2000-02-28,84.53,85.93,83.72,84.83,84.83,3954974
2000-02-29,85.04,85.77,84.28,85.02,85.02,4102686
2000-03-01,87.57,88.22,86.98,87.6,87.6,5814598
2000-03-02,86.2,87.54,85.79,86.67,86.67,5816540
2000-03-03,86.92,87.1,86.21,86.65,86.65,2486028
2000-03-06,86.54,86.87,86.0,86.43,86.43,4453126
2000-03-07,86.77,87.58,86.13,86.86,86.86,5736757
2000-03-08,85.37,85.42,85.27,85.35,85.35,3058467
2000-03-09,84.86,85.95,84.2,85.08,85.08,3996513
2000-03-10,84.45,85.14,83.64,84.39,84.39,4084464
2000-03-13,83.01,83.38,82.31,82.85,82.85,5768524
2000-03-14,82.82,84.1,81.7,82.9,82.9,9676888
2000-03-15,85.48,86.27,85.19,85.73,85.73,7240349
2000-03-16,85.23,85.7,84.6,85.15,85.15,6018762
2000-03-17,82.8,83.74,81.93,82.84,82.84,3259095
2000-03-20,84.55,84.88,83.58,84.23,84.23,5745146
2000-03-21,83.48,84.05,82.78,83.42,83.42,2504699
2000-03-22,83.31,83.75,82.33,83.04,83.04,6862814
2000-03-23,85.82,86.71,85.13,85.92,85.92,4158265
2000-03-24,86.11,86.48,84.76,85.62,85.62,4922786
2000-03-27,85.36,85.68,84.37,85.03,85.03,7470242
2000-03-28,83.18,83.72,82.19,82.96,82.96,5042003
2000-03-29,83.19,83.63,82.87,83.25,83.25,3689147
2000-03-30,83.08,83.57,81.31,82.44,82.44,3509455
2000-03-31,83.19,84.13,82.51,83.32,83.32,6212568
2000-04-03,81.11,82.4,80.69,81.55,81.55,5617477
2000-04-04,82.1,82.72,81.49,82.11,82.11,5712349
2000-04-05,82.18,82.54,81.91,82.22,82.22,12256299
2000-04-06,84.67,85.41,83.58,84.49,84.49,6802531
2000-04-07,84.63,85.87,84.21,85.04,85.04,8326477
2000-04-10,85.37,85.68,85.0,85.34,85.34,7455810
2000-04-11,85.62,86.41,84.71,85.56,85.56,3108062
2000-04-12,85.65,86.13,84.29,85.21,85.21,8392328
2000-04-13,86.8,87.51,86.46,86.99,86.99,6380760
2000-04-14,87.54,87.97,87.35,87.66,87.66,4006066
2000-04-17,88.27,88.36,87.99,88.18,88.18,5100470
2000-04-18,88.0,88.57,87.41,87.99,87.99,3263889
2000-04-19,88.48,89.35,87.43,88.39,88.39,6000265
2000-04-20,88.26,89.0,87.42,88.21,88.21,3397006
2000-04-21,87.45,88.1,87.04,87.57,87.57,7823971
2000-04-24,86.84,87.34,86.71,87.03,87.03,8451510
2000-04-25,87.49,87.92,86.14,87.03,87.03,6451587
2000-04-26,87.35,89.12,86.8,87.96,87.96,3287036
2000-04-27,89.41,90.39,88.63,89.51,89.51,5687284
2000-04-28,88.6,88.98,87.88,88.43,88.43,15973789
2000-05-01,87.54,88.41,87.06,87.74,87.74,14003930
2000-05-02,89.73,91.01,88.85,89.93,89.93,8295939
2000-05-03,90.36,91.31,90.07,90.69,90.69,3795298
2000-05-04,90.97,91.76,89.85,90.8,90.8,5955320
2000-05-05,91.0,91.87,90.3,91.08,91.08,6088651
2000-05-08,91.29,91.96,90.75,91.36,91.36,8449966
2000-05-09,93.1,93.33,92.81,93.07,93.07,3407572
2000-05-10,91.34,91.62,90.56,91.09,91.09,7106388
2000-05-11,90.74,91.83,90.34,91.09,91.09,7138037
2000-05-12,91.13,92.12,90.73,91.43,91.43,7022235
2000-05-15,90.07,90.54,89.45,89.99,89.99,6284441
2000-05-16,90.65,91.03,89.96,90.49,90.49,3885309
2000-05-17,88.23,88.99,87.85,88.42,88.42,3278845
2000-05-18,88.88,89.4,88.68,89.04,89.04,6486238
2000-05-19,90.89,91.48,89.07,90.28,90.28,5372030
2000-05-22,90.88,91.42,90.33,90.87,90.87,9568971
2000-05-23,92.79,93.85,91.87,92.86,92.86,7085577
2000-05-24,92.8,93.07,91.82,92.45,92.45,10749183
2000-05-25,94.23,94.7,92.81,93.76,93.76,6508059
2000-05-26,93.97,94.3,93.44,93.87,93.87,6482183
2000-05-29,93.91,94.67,93.42,94.04,94.04,7061972
2000-05-30,92.78,93.86,92.48,93.17,93.17,5890965
