,Open,High,Low,Close,Adj Close,Volume
2000-01-03,94.17,94.83,93.17,94.0,94.0,5034258
2000-01-04,93.89,94.33,92.64,93.48,93.48,3923622
2000-01-05,92.23,93.45,91.31,92.38,92.38,3919894
2000-01-06,90.3,91.36,89.98,90.67,90.67,4946517
2000-01-07,88.29,88.91,87.18,88.05,88.05,7003603
2000-01-10,88.8,90.07,87.26,88.66,88.66,4445976
2000-01-11,88.05,88.92,87.48,88.2,88.2,11372342
2000-01-12,85.36,85.64,84.79,85.21,85.21,7117849
2000-01-13,82.13,83.18,81.84,82.51,82.51,6159246
2000-01-14,82.19,82.48,81.39,81.93,81.93,12092303
2000-01-17,79.19,79.99,78.35,79.17,79.17,5563726
2000-01-18,80.03,80.37,78.97,79.67,79.67,7325646
2000-01-19,79.56,79.98,79.24,79.61,79.61,5641993
2000-01-20,81.02,81.47,79.76,80.62,80.62,5454087
2000-01-21,79.55,80.09,79.18,79.64,79.64,7319702
2000-01-24,79.41,80.58,79.02,79.8,79.8,3785868
2000-01-25,79.54,80.37,79.01,79.69,79.69,7067055
2000-01-26,79.87,80.97,79.11,80.04,80.04,3428983
2000-01-27,79.88,80.16,79.01,79.58,79.58,4536719
2000-01-28,78.12,78.89,77.32,78.11,78.11,8469765
2000-01-31,76.98,77.51,76.5,77.01,77.01,8500743
2000-02-01,76.53,76.8,75.62,76.21,76.21,1831780
2000-02-02,76.49,77.16,75.79,76.48,76.48,9076185
2000-02-03,74.8,75.26,74.24,74.75,74.75,6504725
2000-02-04,73.64,74.03,72.59,73.31,73.31,2950711
2000-02-07,76.91,77.87,76.27,77.07,77.07,6030040
2000-02-08,76.53,77.1,75.56,76.33,76.33,4136839
2000-02-09,75.64,75.72,75.44,75.58,75.58,3197711
2000-02-10,76.13,77.13,75.34,76.24,76.24,10627646
2000-02-11,75.04,76.15,74.7,75.42,75.42,5540335
2000-02-14,76.67,76.89,75.93,76.41,76.41,5700773
2000-02-15,75.58,76.14,74.24,75.19,75.19,3438491
2000-02-16,72.68,73.72,72.4,73.06,73.06,9399207
2000-02-17,74.36,74.74,73.7,74.22,74.22,9941662
2000-02-18,74.92,75.53,74.06,74.8,74.8,3568534
2000-02-21,74.06,74.65,73.28,73.96,73.96,6180043
2000-02-22,74.31,74.9,73.48,74.19,74.19,5370683
2000-02-23,74.21,74.95,73.49,74.22,74.22,4930335
2000-02-24,74.16,74.46,73.53,73.99,73.99,5045570
2000-02-25,71.43,71.88,71.08,71.48,71.48,6667456
2000-02-28,71.36,72.39,70.96,71.68,71.68,5190455
2000-02-29,71.23,71.93,70.26,71.1,71.1,7711438
2000-03-01,69.53,69.79,68.89,69.34,69.34,4882813
2000-03-02,68.83,69.15,68.39,68.77,68.77,4608234
2000-03-03,66.7,67.28,65.48,66.38,66.38,3646306
2000-03-06,68.86,68.97,68.58,68.78,68.78,7228093
2000-03-07,69.66,70.23,69.39,69.81,69.81,2171477
2000-03-08,72.29,72.7,71.36,72.03,72.03,6844960
2000-03-09,72.63,73.31,72.18,72.75,72.75,4409217
2000-03-10,73.34,74.11,73.01,73.56,73.56,5117289
2000-03-13,74.03,74.81,73.7,74.25,74.25,5399587
2000-03-14,73.52,73.79,72.53,73.16,73.16,7039376
2000-03-15,70.99,71.67,70.37,71.02,71.02,7570250
2000-03-16,69.11,70.07,68.73,69.4,69.4,7201439
2000-03-17,70.15,70.39,69.47,69.93,69.93,10652008
2000-03-20,69.5,70.11,68.59,69.35,69.35,9963844
2000-03-21,67.82,69.19,67.29,68.24,68.24,4680555
2000-03-22,70.04,70.17,69.85,70.01,70.01,3020007
2000-03-23,71.09,71.68,70.34,71.01,71.01,9764194
2000-03-24,70.92,71.75,69.97,70.86,70.86,6432454
2000-03-27,69.19,69.52,68.89,69.21,69.21,6820622
2000-03-28,69.56,70.54,69.21,69.87,69.87,6853741
2000-03-29,70.39,70.99,70.0,70.5,70.5,7167379
2000-03-30,69.09,69.51,68.31,68.91,68.91,2866492
2000-03-31,69.86,70.55,69.65,70.1,70.1,6489515
2000-04-03,72.59,73.29,71.76,72.52,72.52,8103871
2000-04-04,73.01,73.22,72.35,72.78,72.78,7052919
2000-04-05,74.12,74.47,72.88,73.68,73.68,3009535
2000-04-06,76.03,76.37,75.5,75.93,75.93,2830284
2000-04-07,76.91,77.15,76.25,76.7,76.7,3994306
2000-04-10,76.48,76.64,76.24,76.44,76.44,7339725
2000-04-11,75.39,75.98,74.2,75.09,75.09,4725801
2000-04-12,75.43,76.25,75.05,75.65,75.65,8576093
2000-04-13,74.02,74.84,73.03,73.94,73.94,4050708
2000-04-14,72.91,73.12,72.33,72.73,72.73,4003928
2000-04-17,74.08,74.63,73.77,74.2,74.2,12662106
2000-04-18,74.31,75.11,73.75,74.43,74.43,3088291
2000-04-19,73.41,73.69,72.89,73.29,73.29,1914323
2000-04-20,70.66,71.41,70.11,70.76,70.76,5295854
2000-04-21,70.88,72.02,70.17,71.09,71.09,8592541
2000-04-24,71.59,72.13,70.41,71.27,71.27,4100905
2000-04-25,71.41,72.27,71.09,71.68,71.68,7158877
2000-04-26,72.32,72.89,71.74,72.32,72.32,4493761
2000-04-27,73.22,73.89,72.74,73.31,73.31,6889955
2000-04-28,74.13,74.48,73.64,74.06,74.06,5800693
2000-05-01,75.37,76.19,74.78,75.49,75.49,11923376
2000-05-02,76.06,76.97,75.58,76.28,76.28,6918506
2000-05-03,76.92,77.62,75.61,76.62,76.62,2667231
2000-05-04,76.33,76.83,75.85,76.34,76.34,6307987
2000-05-05,77.86,77.87,77.84,77.86,77.86,6128896
2000-05-08,78.99,79.32,77.92,78.62,78.62,14967990
2000-05-09,77.91,79.13,77.26,78.2,78.2,7189665
2000-05-10,77.62,78.46,77.23,77.84,77.84,3003944
2000-05-11,77.63,79.09,77.23,78.16,78.16,4934289
2000-05-12,78.99,80.06,77.97,79.02,79.02,4058334
2000-05-15,79.98,80.14,79.45,79.79,79.79,10027866
2000-05-16,76.94,77.63,76.22,76.93,76.93,5434164
2000-05-17,76.63,77.2,76.19,76.69,76.69,5796422
2000-05-18,76.01,76.82,75.52,76.17,76.17,3157183
2000-05-19,76.81,77.34,75.83,76.58,76.58,5708948
2000-05-22,77.63,78.51,77.09,77.8,77.8,4605696
2000-05-23,79.6,80.1,79.19,79.65,79.65,5120021
2000-05-24,80.15,80.53,79.1,79.82,79.82,6418082
2000-05-25,81.61,81.74,81.33,81.53,81.53,8553289
2000-05-26,82.6,83.39,81.62,82.51,82.51,3989207
2000-05-29,83.9,84.97,83.46,84.21,84.21,6163092
2000-05-30,84.71,84.99,83.8,84.4,84.4,4267978
2000-05-31,85.41,85.96,84.71,85.33,85.33,4841683
2000-06-01,84.37,84.89,83.17,84.03,84.03,6732093
2000-06-02,83.34,83.54,82.77,83.15,83.15,3878325
2000-06-05,81.81,82.3,81.01,81.65,81.65,6585421
2000-06-06,80.44,81.34,79.39,80.37,80.37,6517402
2000-06-07,83.86,84.21,83.17,83.69,83.69,4686014
2000-06-08,82.68,83.38,82.22,82.8,82.8,6348365
2000-06-09,81.18,81.69,80.54,81.11,81.11,8008080
2000-06-12,79.63,80.39,78.85,79.62,79.62,4902181
2000-06-13,81.15,81.82,80.33,81.07,81.07,7536630
2000-06-14,79.23,79.89,78.65,79.27,79.27,6302012
2000-06-15,80.94,81.79,79.63,80.71,80.71,2364490
2000-06-16,79.35,80.49,78.42,79.45,79.45,8633353
2000-06-19,80.2,80.79,79.3,80.05,80.05,8965904
2000-06-20,83.29,83.98,82.73,83.36,83.36,6738913
2000-06-21,83.73,84.09,82.44,83.26,83.26,5994408
2000-06-22,84.46,84.59,83.99,84.29,84.29,5441551
2000-06-23,83.82,84.93,83.45,84.19,84.19,5644185
