,Open,High,Low,Close,Adj Close,Volume
2000-01-03,56.17,56.36,55.64,56.0,56.0,3413848
2000-01-04,54.26,54.5,53.58,54.04,54.04,5546519
2000-01-05,54.94,55.42,54.39,54.91,54.91,7594690
2000-01-06,56.83,56.99,56.24,56.62,56.62,4356306
2000-01-07,57.19,57.76,56.42,57.09,57.09,8920201
2000-01-10,56.39,56.66,56.3,56.48,56.48,4604811
2000-01-11,56.31,56.73,55.68,56.21,56.21,5603632
2000-01-12,55.91,56.07,55.64,55.85,55.85,4105591
2000-01-13,55.36,55.82,54.84,55.33,55.33,4683823
2000-01-14,55.27,55.44,55.02,55.23,55.23,2207533
2000-01-17,52.98,53.31,52.5,52.91,52.91,6298687
2000-01-18,53.65,53.87,53.13,53.5,53.5,4429622
2000-01-19,53.62,53.84,53.54,53.69,53.69,2597924
2000-01-20,52.58,53.27,52.38,52.83,52.83,6853206
2000-01-21,53.47,54.35,52.82,53.58,53.58,3813232
2000-01-24,53.7,54.03,53.12,53.58,53.58,5976717
2000-01-25,55.16,55.65,54.74,55.2,55.2,4971213
2000-01-26,56.18,56.9,55.91,56.41,56.41,7925063
2000-01-27,55.97,56.2,55.31,55.76,55.76,6480672
2000-01-28,54.65,55.1,54.06,54.58,54.58,8320448
2000-01-31,53.7,54.77,53.38,54.07,54.07,6293928
2000-02-01,53.46,53.85,53.24,53.54,53.54,5225263
2000-02-02,53.54,53.95,53.2,53.57,53.57,4383023
2000-02-03,52.95,53.12,52.42,52.77,52.77,2358918
2000-02-04,52.21,52.33,51.85,52.09,52.09,3297798
2000-02-07,53.51,53.86,52.6,53.23,53.23,3127464
2000-02-08,53.43,54.11,53.23,53.67,53.67,9166730
2000-02-09,53.67,54.22,53.51,53.87,53.87,4163415
2000-02-10,54.09,54.52,53.75,54.13,54.13,6278613
2000-02-11,52.84,52.95,52.54,52.75,52.75,7212891
2000-02-14,52.78,53.54,52.47,53.01,53.01,15628069
2000-02-15,55.08,55.22,54.81,55.02,55.02,8184841
2000-02-16,54.24,54.96,53.6,54.28,54.28,2234250
2000-02-17,52.01,52.48,51.82,52.15,52.15,4870055
2000-02-18,53.38,53.87,53.1,53.48,53.48,6031212
2000-02-21,53.41,53.81,53.22,53.52,53.52,6877796
2000-02-22,54.01,54.5,53.7,54.1,54.1,2615057
2000-02-23,54.66,55.05,53.66,54.35,54.35,11332161
2000-02-24,54.96,55.44,54.34,54.89,54.89,5325214
2000-02-25,55.76,56.02,55.61,55.81,55.81,2483728
2000-02-28,54.84,55.69,54.62,55.16,55.16,3770887
2000-02-29,56.09,56.74,55.4,56.07,56.07,3635348
2000-03-01,55.9,56.33,55.68,56.0,56.0,5371602
2000-03-02,56.76,57.3,56.33,56.82,56.82,2407092
2000-03-03,56.41,57.16,56.1,56.63,56.63,8124456
2000-03-06,55.46,56.26,55.13,55.69,55.69,5758655
2000-03-07,56.7,56.97,56.52,56.74,56.74,8628176
2000-03-08,57.11,57.79,56.4,57.09,57.09,7279092
2000-03-09,55.64,55.91,55.51,55.71,55.71,8366339
2000-03-10,55.71,56.4,55.34,55.87,55.87,3109863
2000-03-13,54.6,54.85,53.83,54.34,54.34,5567521
2000-03-14,54.64,54.7,54.6,54.65,54.65,4545542
2000-03-15,55.2,55.54,55.04,55.29,55.29,6652162
2000-03-16,55.41,55.65,55.07,55.36,55.36,13367068
2000-03-17,55.08,55.47,54.88,55.18,55.18,5855484
2000-03-20,52.21,52.98,52.0,52.49,52.49,5934514
2000-03-21,52.84,53.32,52.17,52.74,52.74,3661064
2000-03-22,53.35,53.78,53.06,53.42,53.42,5938054
2000-03-23,52.91,53.03,52.82,52.92,52.92,6294053
2000-03-24,53.78,54.18,53.07,53.62,53.62,5813979
2000-03-27,53.74,54.53,53.38,53.95,53.95,5404945
2000-03-28,55.46,55.77,55.15,55.46,55.46,5066809
2000-03-29,56.23,56.79,56.05,56.42,56.42,7215447
2000-03-30,56.45,56.86,56.07,56.46,56.46,4593942
2000-03-31,56.82,56.98,56.66,56.82,56.82,6279950
2000-04-03,56.9,57.16,56.02,56.59,56.59,4598707
2000-04-04,57.44,57.71,56.92,57.31,57.31,4098705
2000-04-05,56.79,57.46,56.62,57.04,57.04,8594463
2000-04-06,55.42,55.64,54.75,55.19,55.19,5366978
2000-04-07,55.08,55.62,54.84,55.23,55.23,10431214
2000-04-10,55.56,55.76,54.76,55.26,55.26,7089355
2000-04-11,54.7,55.07,54.25,54.66,54.66,6641762
2000-04-12,53.83,54.21,53.36,53.78,53.78,7401773
2000-04-13,52.69,53.08,52.48,52.78,52.78,5769841
2000-04-14,51.38,51.72,51.16,51.44,51.44,6608755
2000-04-17,52.77,53.14,52.33,52.73,52.73,9052781
2000-04-18,51.22,51.53,50.69,51.11,51.11,5451029
2000-04-19,53.47,54.0,53.29,53.64,53.64,7340365
2000-04-20,53.89,54.25,53.23,53.74,53.74,6164842
2000-04-21,53.93,54.12,53.43,53.78,53.78,5700581
2000-04-24,53.93,54.07,53.8,53.93,53.93,4067032
2000-04-25,54.83,55.17,54.0,54.59,54.59,4508402
2000-04-26,53.55,54.76,53.23,54.0,54.0,2808256
2000-04-27,54.51,55.08,53.89,54.48,54.48,4877605
2000-04-28,54.73,54.97,53.86,54.42,54.42,4806444
2000-05-01,55.72,56.25,55.33,55.79,55.79,4153798
2000-05-02,55.59,55.92,54.86,55.39,55.39,4805914
2000-05-03,56.29,56.63,55.52,56.07,56.07,5164462
2000-05-04,54.47,54.88,53.96,54.42,54.42,5259342
2000-05-05,54.12,54.33,53.76,54.05,54.05,5362526
2000-05-08,55.2,55.73,54.97,55.35,55.35,3631924
2000-05-09,54.85,55.01,54.44,54.73,54.73,5576254
2000-05-10,53.31,54.11,52.95,53.53,53.53,5264021
2000-05-11,54.04,54.28,53.8,54.04,54.04,3386976
2000-05-12,55.71,55.96,55.64,55.8,55.8,5471773
2000-05-15,53.56,53.93,52.22,53.08,53.08,5433609
2000-05-16,53.42,53.76,53.14,53.45,53.45,4574856
2000-05-17,54.27,55.39,53.96,54.67,54.67,4764994
2000-05-18,56.38,56.79,56.24,56.51,56.51,4647704
2000-05-19,56.99,57.58,56.77,57.18,57.18,3076892
2000-05-22,55.82,56.18,54.92,55.55,55.55,8156903
2000-05-23,55.48,55.89,55.25,55.57,55.57,3422679
2000-05-24,57.08,57.44,56.56,57.0,57.0,6998719
2000-05-25,58.1,58.33,57.73,58.03,58.03,5833716
2000-05-26,58.45,58.64,57.87,58.25,58.25,3623901
2000-05-29,57.62,58.28,57.35,57.82,57.82,5262299
2000-05-30,56.4,56.93,55.91,56.42,56.42,8172487
2000-05-31,56.16,56.8,55.99,56.39,56.39,7985907
2000-06-01,56.98,57.58,56.69,57.14,57.14,10644812
2000-06-02,58.46,58.67,57.94,58.31,58.31,9602029
2000-06-05,56.85,57.09,56.68,56.88,56.88,4378520
2000-06-06,57.92,59.08,57.53,58.3,58.3,11559325
2000-06-07,59.73,60.02,59.1,59.56,59.56,4515005
2000-06-08,57.91,58.16,57.59,57.87,57.87,4172424
2000-06-09,58.36,58.62,57.71,58.17,58.17,4115046
2000-06-12,60.22,60.66,59.05,59.85,59.85,5451644
2000-06-13,61.31,61.79,60.77,61.28,61.28,8629929
2000-06-14,59.21,59.32,58.99,59.15,59.15,9614652
2000-06-15,59.8,60.58,59.54,60.06,60.06,5576099
2000-06-16,59.08,59.84,58.67,59.26,59.26,5021673
2000-06-19,59.57,59.83,59.26,59.54,59.54,7572782
2000-06-20,60.48,60.85,60.36,60.61,60.61,4928894
2000-06-21,60.38,60.78,59.81,60.29,60.29,7783039
2000-06-22,58.55,59.2,58.14,58.67,58.67,6399373
2000-06-23,59.2,60.28,58.75,59.51,59.51,7470681
2000-06-26,60.51,60.81,59.49,60.15,60.15,5530986
2000-06-27,60.58,61.24,60.36,60.8,60.8,3682572
2000-06-28,59.84,60.19,59.0,59.59,59.59,5624833
2000-06-29,58.14,58.66,57.58,58.12,58.12,11912271
2000-06-30,56.38,56.48,56.3,56.39,56.39,4282490
2000-07-03,57.82,58.21,57.22,57.72,57.72,4380151
2000-07-04,57.5,57.83,57.02,57.42,57.42,3197881
2000-07-05,59.21,60.04,58.54,59.29,59.29,2855159
2000-07-06,58.22,58.74,57.46,58.1,58.1,3523805
2000-07-07,58.0,58.71,57.76,58.23,58.23,4968639
2000-07-10,58.24,58.78,58.1,58.44,58.44,2884371
2000-07-11,60.15,60.33,59.67,60.0,60.0,8100076
2000-07-12,60.96,61.51,60.37,60.94,60.94,4754780
2000-07-13,62.84,63.38,62.17,62.78,62.78,5171928
2000-07-14,62.0,62.69,61.21,61.95,61.95,8177717
2000-07-17,62.5,62.89,62.28,62.58,62.58,4086826
2000-07-18,62.32,62.69,61.81,62.25,62.25,9002655
2000-07-19,62.65,63.09,62.53,62.81,62.81,9181729
2000-07-20,63.58,63.92,63.25,63.59,63.59,6457846
2000-07-21,64.09,64.73,63.34,64.03,64.03,4691131
2000-07-24,63.93,64.72,63.6,64.16,64.16,6922724
2000-07-25,62.97,63.41,61.97,62.69,62.69,6789532
2000-07-26,61.36,63.02,60.87,61.94,61.94,2340546
2000-07-27,62.88,63.14,62.21,62.68,62.68,2404485
2000-07-28,63.1,63.76,62.53,63.14,63.14,8172730
2000-07-31,64.3,64.88,63.67,64.28,64.28,8344914
2000-08-01,64.59,64.74,64.05,64.39,64.39,10170041
2000-08-02,63.83,64.16,63.26,63.71,63.71,3697077
2000-08-03,62.12,62.86,61.86,62.36,62.36,4616525
2000-08-04,63.23,63.86,62.9,63.38,63.38,7177058
2000-08-07,62.87,63.51,62.03,62.77,62.77,5157878
2000-08-08,62.79,63.13,62.15,62.64,62.64,6287510
2000-08-09,61.22,61.83,60.87,61.35,61.35,5933059
2000-08-10,59.71,60.03,59.31,59.67,59.67,7698498
2000-08-11,60.14,60.56,59.85,60.2,60.2,5368988
2000-08-14,58.42,58.83,57.18,58.0,58.0,4152884
2000-08-15,57.9,57.94,57.86,57.9,57.9,6125879
2000-08-16,55.7,56.08,55.6,55.84,55.84,8117955
2000-08-17,56.14,56.65,55.77,56.21,56.21,2497175
2000-08-18,54.64,54.76,54.21,54.49,54.49,3512442
2000-08-21,55.37,55.72,54.86,55.29,55.29,3575869
2000-08-22,57.27,57.87,56.58,57.23,57.23,7310311
2000-08-23,57.22,57.91,57.04,57.48,57.48,6547349
2000-08-24,58.85,59.12,58.6,58.86,58.86,3578667
2000-08-25,58.7,59.33,58.54,58.93,58.93,4041415
2000-08-28,57.22,57.65,56.66,57.15,57.15,2352785
2000-08-29,58.98,59.06,58.87,58.96,58.96,4826196
2000-08-30,60.03,60.43,58.88,59.65,59.65,6190398
2000-08-31,59.31,59.5,58.88,59.19,59.19,3095628
2000-09-01,59.43,59.67,58.85,59.26,59.26,5965048
2000-09-04,61.48,61.73,61.04,61.39,61.39,6235555
2000-09-05,59.86,60.58,59.63,60.1,60.1,11464154
2000-09-06,60.06,60.74,59.62,60.18,60.18,4549731
2000-09-07,60.44,61.42,60.06,60.74,60.74,4007108
2000-09-08,58.85,59.41,58.58,58.99,58.99,2562881
2000-09-11,60.82,61.3,60.13,60.71,60.71,4526681
2000-09-12,60.61,61.32,59.99,60.65,60.65,9344888
2000-09-13,62.72,63.05,62.08,62.57,62.57,5436993
2000-09-14,63.18,63.64,62.6,63.12,63.12,3877725
2000-09-15,64.99,65.68,64.17,64.93,64.93,4149322
2000-09-18,64.31,64.84,64.14,64.49,64.49,12453640
2000-09-19,65.14,65.78,64.05,64.91,64.91,4596146
2000-09-20,64.44,64.52,64.42,64.47,64.47,5289180
2000-09-21,62.65,63.42,62.15,62.78,62.78,3995625
2000-09-22,63.48,64.12,63.16,63.64,63.64,7129297
2000-09-25,64.24,64.67,63.76,64.22,64.22,4018102
2000-09-26,62.02,62.54,61.72,62.13,62.13,4524268
2000-09-27,60.31,61.02,59.92,60.47,60.47,5870298
2000-09-28,59.94,60.51,59.43,59.97,59.97,4389085
2000-09-29,61.91,62.91,61.36,62.13,62.13,3627870
2000-10-02,60.98,61.26,60.25,60.76,60.76,6246199
2000-10-03,60.71,61.02,60.62,60.82,60.82,4229436
2000-10-04,59.66,60.35,59.37,59.86,59.86,7193372
2000-10-05,60.39,60.6,59.99,60.3,60.3,3357239
2000-10-06,59.81,60.23,59.39,59.81,59.81,3848256
2000-10-09,58.57,59.58,58.2,58.89,58.89,10525019
2000-10-10,61.43,62.06,61.13,61.6,61.6,4328141
2000-10-11,60.11,60.72,59.62,60.17,60.17,4101097
2000-10-12,59.79,60.42,59.48,59.95,59.95,6542866
2000-10-13,60.02,60.22,59.51,59.87,59.87,7681090
2000-10-16,58.43,58.64,57.98,58.31,58.31,5563416
2000-10-17,57.15,58.19,56.76,57.47,57.47,5475625
2000-10-18,57.77,58.69,57.39,58.04,58.04,5750398
2000-10-19,56.78,57.24,56.33,56.78,56.78,4179657
2000-10-20,57.11,57.3,56.49,56.89,56.89,7100869
2000-10-23,57.55,57.95,56.94,57.44,57.44,2260866
2000-10-24,59.82,60.42,59.54,59.98,59.98,5451487
2000-10-25,60.14,60.45,59.45,59.95,59.95,2986758
2000-10-26,59.56,60.13,59.12,59.62,59.62,6953708
2000-10-27,60.59,60.81,59.95,60.38,60.38,2668449
2000-10-30,60.13,60.59,59.65,60.12,60.12,2784854
2000-10-31,61.86,62.23,61.17,61.7,61.7,4561849
2000-11-01,60.87,61.28,60.5,60.89,60.89,4442573
2000-11-02,61.4,61.75,60.58,61.16,61.16,4787317
2000-11-03,62.58,63.39,62.28,62.84,62.84,2657512
2000-11-06,63.73,64.88,63.33,64.1,64.1,4238282
2000-11-07,63.34,64.11,62.68,63.39,63.39,6767043
2000-11-08,62.39,63.22,62.04,62.63,62.63,7749831
2000-11-09,63.49,63.99,63.25,63.62,63.62,4956620
2000-11-10,63.76,63.97,62.94,63.45,63.45,8259323
2000-11-13,62.09,62.34,61.31,61.82,61.82,2889406
2000-11-14,60.0,60.61,59.28,59.94,59.94,6006169
2000-11-15,60.97,61.38,60.46,60.92,60.92,10174887
2000-11-16,61.25,61.96,60.82,61.39,61.39,6079452
2000-11-17,62.11,62.62,61.53,62.08,62.08,6264424
2000-11-20,61.97,62.56,61.57,62.06,62.06,3786832
2000-11-21,65.33,65.64,64.86,65.25,65.25,6125451
2000-11-22,66.32,67.04,65.62,66.33,66.33,4896308
2000-11-23,66.88,67.17,66.48,66.82,66.82,5724279
2000-11-24,67.57,68.15,66.7,67.42,67.42,3560578
2000-11-27,67.74,68.74,67.36,68.05,68.05,4272215
2000-11-28,69.27,69.82,68.6,69.21,69.21,8998156
2000-11-29,69.2,69.67,69.01,69.34,69.34,3701472
2000-11-30,71.82,72.25,70.86,71.56,71.56,3062384
2000-12-01,72.05,72.29,71.61,71.95,71.95,5721129
2000-12-04,75.48,75.88,74.39,75.13,75.13,6578048
2000-12-05,75.59,75.89,75.31,75.6,75.6,4892540
2000-12-06,76.66,77.35,75.66,76.5,76.5,5633511
2000-12-07,78.79,79.57,78.3,78.93,78.93,2281482
