,Open,High,Low,Close,Adj Close,Volume
2000-01-03,183.57,185.65,182.35,184.0,184.0,3149805
2000-01-04,183.09,184.25,182.49,183.37,183.37,3233197
2000-01-05,184.04,185.57,182.15,183.86,183.86,3975581
2000-01-06,184.03,185.68,183.39,184.54,184.54,4934324
2000-01-07,184.04,186.12,182.97,184.55,184.55,4944483
2000-01-10,183.57,186.65,182.71,184.68,184.68,5499957
2000-01-11,184.76,186.61,184.21,185.41,185.41,10740058
2000-01-12,185.35,187.7,184.31,186.0,186.0,5371822
2000-01-13,186.15,189.84,184.76,187.3,187.3,6223340
2000-01-14,188.73,190.28,186.86,188.57,188.57,4371527
2000-01-17,191.56,193.84,189.95,191.89,191.89,8998475
2000-01-18,192.18,192.68,191.29,191.98,191.98,4624199
2000-01-19,192.47,193.0,192.09,192.54,192.54,3855667
2000-01-20,189.09,191.81,187.61,189.71,189.71,6035272
2000-01-21,187.48,188.97,186.9,187.93,187.93,3414929
2000-01-24,187.26,188.95,185.86,187.41,187.41,6746733
2000-01-25,184.26,185.98,182.75,184.37,184.37,7230466
2000-01-26,186.12,187.05,185.76,186.4,186.4,5686716
2000-01-27,184.08,185.46,182.84,184.15,184.15,3331386
2000-01-28,187.53,189.33,186.84,188.08,188.08,6189100
2000-01-31,186.89,188.47,185.77,187.12,187.12,9800371
2000-02-01,189.36,190.14,189.13,189.64,189.64,5905337
2000-02-02,191.85,194.48,190.76,192.62,192.62,5690598
2000-02-03,192.99,194.91,188.95,191.93,191.93,4902655
2000-02-04,194.46,196.51,193.9,195.21,195.21,6914161
2000-02-07,194.54,195.29,192.91,194.1,194.1,4411036
2000-02-08,196.84,198.41,194.09,196.25,196.25,10660055
2000-02-09,196.92,197.76,194.24,196.0,196.0,2289987
2000-02-10,195.12,196.52,194.44,195.48,195.48,4198734
2000-02-11,193.85,195.21,192.94,194.07,194.07,5529176
2000-02-14,189.52,191.1,189.08,190.09,190.09,4991048
2000-02-15,187.68,189.05,184.39,186.72,186.72,7684780
2000-02-16,188.79,190.41,187.63,189.02,189.02,3188887
2000-02-17,186.25,186.87,184.26,185.56,185.56,3646870
2000-02-18,181.06,185.36,178.79,182.08,182.08,2903104
2000-02-21,184.89,185.68,183.05,184.37,184.37,6912707
2000-02-22,185.27,186.29,182.65,184.47,184.47,4524062
2000-02-23,184.71,187.04,183.42,185.23,185.23,4686974
2000-02-24,185.49,186.62,183.41,185.02,185.02,6400814
2000-02-25,184.36,185.09,181.7,183.4,183.4,5118729
2000-02-28,181.94,184.97,180.71,182.84,182.84,3871429
2000-02-29,183.5,186.17,182.52,184.34,184.34,5309378
2000-03-01,183.9,186.1,183.17,184.64,184.64,5059373
2000-03-02,183.47,185.54,181.79,183.67,183.67,5928285
2000-03-03,185.51,185.93,184.18,185.05,185.05,3210382
2000-03-06,185.5,188.42,184.63,186.52,186.52,4232879
2000-03-07,190.59,191.31,188.04,189.67,189.67,4699741
2000-03-08,190.25,191.86,188.68,190.27,190.27,3662756
2000-03-09,189.85,190.28,188.87,189.58,189.58,8816684
2000-03-10,189.26,190.23,186.55,188.39,188.39,8759274
2000-03-13,191.34,191.75,190.66,191.2,191.2,3908665
2000-03-14,189.58,190.89,187.83,189.36,189.36,7459087
2000-03-15,191.19,191.94,190.21,191.07,191.07,2158120
2000-03-16,190.73,191.66,189.29,190.47,190.47,7542443
2000-03-17,187.39,188.27,185.49,186.88,186.88,4463063
2000-03-20,184.99,186.75,182.89,184.82,184.82,10763925
2000-03-21,184.32,185.75,181.3,183.53,183.53,4109089
2000-03-22,183.46,185.12,180.96,183.04,183.04,4330263
2000-03-23,181.56,183.06,180.28,181.67,181.67,3941661
2000-03-24,181.76,184.27,180.32,182.29,182.29,3660480
2000-03-27,182.06,183.0,179.22,181.11,181.11,7721093
2000-03-28,178.64,178.91,177.53,178.22,178.22,9272021
2000-03-29,178.47,178.96,177.5,178.23,178.23,5668439
2000-03-30,177.47,180.0,175.26,177.63,177.63,4310084
2000-03-31,174.43,176.26,172.27,174.26,174.26,4178883
2000-04-03,171.72,173.05,171.16,172.1,172.1,6171906
2000-04-04,173.36,175.09,172.5,173.79,173.79,3355072
2000-04-05,174.12,175.42,171.35,173.39,173.39,2743202
2000-04-06,173.98,174.94,173.29,174.11,174.11,3246186
2000-04-07,173.07,176.47,172.14,174.31,174.31,6111089
2000-04-10,174.8,175.62,173.02,174.32,174.32,7676762
2000-04-11,172.39,173.18,171.84,172.51,172.51,7674121
2000-04-12,174.0,175.83,173.29,174.56,174.56,8115559
2000-04-13,176.69,177.24,174.47,175.85,175.85,6905844
2000-04-14,175.63,176.93,175.03,175.98,175.98,5887820
2000-04-17,174.26,174.61,173.89,174.25,174.25,3051298
2000-04-18,173.95,174.93,170.82,172.87,172.87,6181384
2000-04-19,171.89,173.08,169.85,171.47,171.47,7087684
2000-04-20,171.05,172.29,170.45,171.37,171.37,6088520
2000-04-21,169.29,170.43,169.0,169.72,169.72,2528681
2000-04-24,168.91,170.54,167.59,169.07,169.07,4965206
2000-04-25,168.54,171.61,167.45,169.53,169.53,4575957
2000-04-26,168.38,168.72,168.26,168.49,168.49,6932049
2000-04-27,169.15,169.45,168.35,168.9,168.9,5492391
2000-04-28,166.21,166.92,164.77,165.84,165.84,3733824
2000-05-01,169.65,171.45,168.44,169.94,169.94,7104108
2000-05-02,170.99,171.72,168.59,170.16,170.16,4243224
2000-05-03,172.08,172.84,169.32,171.08,171.08,9814404
2000-05-04,175.84,176.2,174.48,175.34,175.34,4327906
2000-05-05,174.54,174.89,173.72,174.31,174.31,3749964
2000-05-08,172.34,172.97,171.39,172.18,172.18,3388933
2000-05-09,171.9,173.81,171.41,172.61,172.61,5667563
2000-05-10,173.56,175.04,170.62,172.83,172.83,4582766
2000-05-11,173.71,175.94,172.9,174.42,174.42,3386192
2000-05-12,173.76,174.8,172.77,173.78,173.78,4675411
2000-05-15,173.67,175.27,171.2,173.24,173.24,11748521
2000-05-16,173.44,173.99,171.7,172.84,172.84,4928928
2000-05-17,170.98,173.34,169.53,171.43,171.43,6155162
2000-05-18,168.26,170.3,167.09,168.7,168.7,3516486
2000-05-19,171.6,173.13,167.85,170.49,170.49,11477963
2000-05-22,169.63,171.66,168.24,169.95,169.95,3815739
2000-05-23,167.76,169.04,165.84,167.44,167.44,9171076
2000-05-24,168.95,170.96,167.41,169.18,169.18,3752139
2000-05-25,168.21,169.61,166.55,168.08,168.08,7051901
2000-05-26,166.77,167.91,165.86,166.88,166.88,5670890
2000-05-29,166.36,169.02,164.71,166.86,166.86,7193576
2000-05-30,166.34,167.95,164.86,166.4,166.4,6653962
2000-05-31,166.71,168.26,165.05,166.65,166.65,6860726
2000-06-01,169.84,172.49,169.13,170.81,170.81,5860832
2000-06-02,170.3,172.82,168.43,170.63,170.63,3919157
2000-06-05,168.57,169.62,167.38,168.5,168.5,4301013
2000-06-06,164.83,166.69,163.2,164.94,164.94,3439619
2000-06-07,167.14,168.0,166.16,167.08,167.08,6407903
2000-06-08,167.55,169.31,166.53,167.92,167.92,3685307
2000-06-09,168.83,170.28,167.25,168.77,168.77,7325352
2000-06-12,170.4,171.32,169.18,170.25,170.25,5493603
2000-06-13,173.78,176.51,172.42,174.47,174.47,5706414
2000-06-14,174.02,175.03,172.38,173.7,173.7,4947488
2000-06-15,173.96,175.52,172.0,173.76,173.76,6047925
2000-06-16,172.65,173.53,171.11,172.32,172.32,4010125
2000-06-19,172.79,174.0,171.62,172.81,172.81,4961772
2000-06-20,173.05,173.72,172.5,173.11,173.11,5016269
2000-06-21,174.81,175.87,174.28,175.07,175.07,4484832
