,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.9,1.92,1.89,1.9,1.9,9696005
2000-01-04,1.91,1.92,1.89,1.91,1.91,6965596
2000-01-05,1.88,1.9,1.87,1.88,1.88,9517044
2000-01-06,1.89,1.9,1.87,1.89,1.89,3423297
2000-01-07,1.87,1.88,1.85,1.87,1.87,4618150
2000-01-10,1.92,1.93,1.9,1.92,1.92,9531515
2000-01-11,2.0,2.01,1.98,2.0,2.0,9886027
2000-01-12,1.96,1.98,1.95,1.96,1.96,2824148
2000-01-13,1.94,1.95,1.92,1.94,1.94,6245249
2000-01-14,1.92,1.93,1.9,1.92,1.92,9410156
2000-01-17,1.89,1.91,1.87,1.89,1.89,2298408
2000-01-18,1.88,1.89,1.86,1.88,1.88,13256596
2000-01-19,1.87,1.89,1.86,1.87,1.87,6722351
2000-01-20,1.89,1.9,1.87,1.89,1.89,5322876
2000-01-21,1.91,1.92,1.89,1.91,1.91,6729944
2000-01-24,1.87,1.88,1.85,1.87,1.87,3991269
2000-01-25,1.81,1.82,1.79,1.81,1.81,4678959
2000-01-26,1.81,1.82,1.79,1.81,1.81,6127833
2000-01-27,1.87,1.88,1.86,1.87,1.87,3630027
2000-01-28,1.89,1.9,1.87,1.89,1.89,12446641
2000-01-31,1.91,1.93,1.9,1.91,1.91,3075828
2000-02-01,1.91,1.93,1.9,1.91,1.91,5720763
2000-02-02,1.92,1.93,1.9,1.92,1.92,3848512
2000-02-03,1.93,1.94,1.91,1.93,1.93,3185607
2000-02-04,1.93,1.95,1.92,1.93,1.93,2489094
2000-02-07,1.91,1.92,1.89,1.91,1.91,3708523
2000-02-08,1.91,1.93,1.9,1.91,1.91,7754748
2000-02-09,1.94,1.96,1.92,1.94,1.94,8753543
2000-02-10,1.88,1.9,1.87,1.88,1.88,4231509
2000-02-11,1.92,1.94,1.91,1.92,1.92,5137060
2000-02-14,1.97,1.99,1.96,1.97,1.97,6152276
2000-02-15,2.0,2.01,1.98,2.0,2.0,6869808
2000-02-16,1.97,1.99,1.96,1.97,1.97,4935403
2000-02-17,1.98,1.99,1.96,1.98,1.98,4969971
2000-02-18,1.99,2.01,1.98,1.99,1.99,3607464
2000-02-21,2.03,2.05,2.01,2.03,2.03,5019962
2000-02-22,2.03,2.04,2.01,2.03,2.03,8207786
2000-02-23,2.04,2.06,2.03,2.04,2.04,6591892
2000-02-24,2.06,2.08,2.04,2.06,2.06,2009699
2000-02-25,2.09,2.11,2.08,2.09,2.09,5764994
2000-02-28,2.13,2.15,2.11,2.13,2.13,2792293
2000-02-29,2.16,2.18,2.14,2.16,2.16,5626795
2000-03-01,2.12,2.14,2.11,2.12,2.12,4733263
2000-03-02,2.14,2.16,2.13,2.14,2.14,4201908
2000-03-03,2.15,2.17,2.14,2.15,2.15,6896760
2000-03-06,2.13,2.15,2.11,2.13,2.13,3383644
2000-03-07,2.11,2.13,2.09,2.11,2.11,3074223
2000-03-08,2.1,2.11,2.08,2.1,2.1,4402520
2000-03-09,2.05,2.07,2.03,2.05,2.05,4686319
2000-03-10,2.02,2.04,2.01,2.02,2.02,6485719
2000-03-13,2.02,2.03,2.0,2.02,2.02,5392151
2000-03-14,2.04,2.06,2.03,2.04,2.04,6813431
2000-03-15,2.0,2.01,1.98,2.0,2.0,12246719
2000-03-16,1.99,2.01,1.98,1.99,1.99,8371828
2000-03-17,2.0,2.01,1.98,2.0,2.0,5759454
2000-03-20,1.95,1.97,1.93,1.95,1.95,4836047
2000-03-21,1.96,1.97,1.94,1.96,1.96,3543085
2000-03-22,1.97,1.99,1.96,1.97,1.97,5252212
2000-03-23,2.0,2.01,1.98,2.0,2.0,4876741
2000-03-24,2.01,2.02,1.99,2.01,2.01,6791037
2000-03-27,2.01,2.02,1.99,2.01,2.01,6045809
2000-03-28,2.04,2.05,2.02,2.04,2.04,6699956
2000-03-29,2.08,2.09,2.06,2.08,2.08,6001591
2000-03-30,2.08,2.09,2.06,2.08,2.08,2404562
2000-03-31,2.12,2.13,2.1,2.12,2.12,2492383
2000-04-03,2.15,2.16,2.13,2.15,2.15,13681650
2000-04-04,2.14,2.15,2.12,2.14,2.14,11937892
2000-04-05,2.17,2.19,2.15,2.17,2.17,7929560
2000-04-06,2.16,2.18,2.14,2.16,2.16,6582530
2000-04-07,2.18,2.2,2.16,2.18,2.18,4061159
2000-04-10,2.16,2.18,2.14,2.16,2.16,8065956
2000-04-11,2.16,2.18,2.14,2.16,2.16,5225438
2000-04-12,2.1,2.11,2.08,2.1,2.1,4414069
2000-04-13,2.06,2.07,2.04,2.06,2.06,2642133
2000-04-14,2.09,2.1,2.07,2.09,2.09,11637724
2000-04-17,2.15,2.17,2.14,2.15,2.15,4986950
2000-04-18,2.14,2.16,2.12,2.14,2.14,3716621
2000-04-19,2.19,2.21,2.18,2.19,2.19,4918757
2000-04-20,2.2,2.22,2.18,2.2,2.2,5475938
2000-04-21,2.19,2.2,2.17,2.19,2.19,5652731
2000-04-24,2.23,2.25,2.21,2.23,2.23,7167363
2000-04-25,2.26,2.27,2.24,2.26,2.26,3736649
2000-04-26,2.25,2.27,2.23,2.25,2.25,4300102
2000-04-27,2.24,2.26,2.23,2.24,2.24,3806926
2000-04-28,2.27,2.29,2.25,2.27,2.27,5256176
2000-05-01,2.24,2.26,2.22,2.24,2.24,4363908
2000-05-02,2.25,2.26,2.23,2.25,2.25,3333030
2000-05-03,2.25,2.27,2.23,2.25,2.25,4241835
2000-05-04,2.25,2.27,2.23,2.25,2.25,4087858
2000-05-05,2.2,2.22,2.19,2.2,2.2,3027053
2000-05-08,2.22,2.23,2.2,2.22,2.22,8185455
2000-05-09,2.21,2.23,2.19,2.21,2.21,10196620
2000-05-10,2.21,2.23,2.19,2.21,2.21,5268262
2000-05-11,2.22,2.24,2.2,2.22,2.22,4896410
2000-05-12,2.19,2.21,2.17,2.19,2.19,3429571
2000-05-15,2.19,2.21,2.18,2.19,2.19,4797755
2000-05-16,2.23,2.25,2.21,2.23,2.23,5800357
2000-05-17,2.27,2.29,2.26,2.27,2.27,4399653
2000-05-18,2.23,2.24,2.21,2.23,2.23,3336780
2000-05-19,2.22,2.24,2.21,2.22,2.22,7526760
2000-05-22,2.2,2.22,2.18,2.2,2.2,10901524
2000-05-23,2.26,2.28,2.24,2.26,2.26,3592934
2000-05-24,2.28,2.3,2.26,2.28,2.28,6240839
