,Open,High,Low,Close,Adj Close,Volume
2018-01-01,177.8,181.03,176.97,179.0,179.0,4677415
2018-01-02,175.36,176.64,174.43,175.53,175.53,6270411
2018-01-03,167.0,168.27,165.67,166.97,166.97,7461469
2018-01-04,164.14,167.21,162.75,164.98,164.98,8218244
2018-01-05,163.52,164.37,163.29,163.83,163.83,5576206
2018-01-08,166.3,167.3,165.23,166.26,166.26,8273515
2018-01-09,164.89,167.26,164.22,165.74,165.74,5323562
2018-01-10,173.1,173.76,171.67,172.71,172.71,2799859
2018-01-11,170.62,173.03,169.77,171.4,171.4,4192097
2018-01-12,172.54,173.68,171.73,172.71,172.71,3406147
2018-01-15,171.43,173.18,168.45,170.82,170.82,5661731
2018-01-16,170.57,172.54,169.66,171.1,171.1,4644854
2018-01-17,169.99,170.63,168.31,169.47,169.47,3639444
2018-01-18,167.92,168.04,167.86,167.95,167.95,7342844
2018-01-19,168.86,170.95,168.12,169.54,169.54,8142700
2018-01-22,170.42,171.65,168.91,170.28,170.28,3328668
2018-01-23,166.88,168.08,164.99,166.54,166.54,7555700
2018-01-24,166.84,169.46,166.12,167.79,167.79,4633596
2018-01-25,168.43,170.02,167.13,168.58,168.58,3337108
2018-01-26,170.51,171.08,169.47,170.27,170.27,7033953
2018-01-29,167.59,169.49,166.52,168.01,168.01,8223149
2018-01-30,168.09,170.04,165.55,167.79,167.79,8177980
2018-01-31,162.44,163.98,160.78,162.38,162.38,5290605
2018-02-01,162.98,163.46,161.44,162.45,162.45,4664349
2018-02-02,164.14,164.88,161.33,163.11,163.11,6208834
2018-02-05,164.14,165.77,162.23,164.0,164.0,4148623
2018-02-06,163.5,163.93,162.04,162.99,162.99,6760057
2018-02-07,164.17,165.15,162.3,163.72,163.72,5980146
2018-02-08,163.74,165.28,161.61,163.45,163.45,7644244
2018-02-09,160.15,160.58,159.69,160.14,160.14,8627948
2018-02-12,154.66,155.54,152.04,153.79,153.79,4779901
2018-02-13,154.08,155.19,152.87,154.03,154.03,4978995
2018-02-14,154.77,156.0,153.04,154.52,154.52,3799847
