,Open,High,Low,Close,Adj Close,Volume
2010-01-01,220.56,223.74,218.26,221.0,221.0,4897556
2010-01-04,222.39,223.79,220.51,222.15,222.15,2654848
2010-01-05,222.32,224.43,219.14,221.79,221.79,6024887
2010-01-06,221.29,223.33,218.01,220.67,220.67,10513883
2010-01-07,217.84,219.09,215.05,217.07,217.07,3577853
2010-01-08,212.93,214.9,212.14,213.52,213.52,8070649
2010-01-11,210.69,212.42,208.21,210.31,210.31,4109903
2010-01-12,207.09,207.26,206.39,206.83,206.83,2244460
2010-01-13,207.36,209.19,206.0,207.59,207.59,7024687
2010-01-14,207.2,208.27,204.75,206.51,206.51,2819902
2010-01-15,203.23,204.2,200.44,202.32,202.32,4709856
2010-01-18,197.12,198.01,196.17,197.09,197.09,3853502
2010-01-19,194.1,195.44,190.68,193.06,193.06,2551331
2010-01-20,195.91,198.37,194.84,196.6,196.6,4274503
2010-01-21,195.63,198.62,194.88,196.75,196.75,4219863
2010-01-22,194.45,197.16,192.53,194.84,194.84,4235161
2010-01-25,194.55,194.84,193.58,194.21,194.21,4731258
2010-01-26,192.48,193.54,191.6,192.57,192.57,6507816
2010-01-27,193.18,195.44,192.12,193.78,193.78,5898256
2010-01-28,197.1,198.92,195.81,197.36,197.36,9439367
2010-01-29,196.02,197.59,195.3,196.45,196.45,5751425
2010-02-01,194.15,195.06,193.26,194.16,194.16,6402142
2010-02-02,191.75,193.74,191.06,192.4,192.4,3081987
2010-02-03,189.23,192.27,188.11,190.19,190.19,5555264
2010-02-04,190.13,191.57,188.84,190.2,190.2,4073382
2010-02-05,186.36,187.04,184.79,185.91,185.91,4589572
2010-02-08,188.9,189.66,186.97,188.31,188.31,4850532
2010-02-09,187.4,188.79,185.24,187.01,187.01,8284587
2010-02-10,185.38,186.95,183.61,185.28,185.28,12786689
2010-02-11,184.98,185.44,183.34,184.39,184.39,8220267
2010-02-12,188.22,188.34,187.82,188.08,188.08,12949298
2010-02-15,189.33,190.85,187.34,189.09,189.09,7695493
2010-02-16,190.62,191.82,189.42,190.62,190.62,5841511
2010-02-17,189.98,191.43,187.33,189.38,189.38,4477268
2010-02-18,190.63,191.96,189.5,190.73,190.73,10858159
2010-02-19,188.82,190.63,187.39,189.01,189.01,2586275
2010-02-22,190.6,192.27,188.8,190.54,190.54,8617190
2010-02-23,190.12,192.24,188.42,190.33,190.33,9358260
2010-02-24,192.49,193.91,190.32,192.12,192.12,3273204
2010-02-25,191.25,192.7,189.73,191.21,191.21,5353991
2010-02-26,187.52,188.91,186.37,187.64,187.64,7598952
2010-03-01,187.46,188.11,185.67,186.89,186.89,6635574
2010-03-02,189.8,192.43,187.89,190.16,190.16,5115864
2010-03-03,189.22,190.48,186.71,188.6,188.6,9769911
2010-03-04,190.35,191.81,188.52,190.17,190.17,5348486
2010-03-05,187.95,189.9,187.24,188.57,188.57,3300865
2010-03-08,187.2,189.82,186.34,188.08,188.08,6371325
2010-03-09,187.28,188.28,185.59,186.94,186.94,1857331
2010-03-10,188.13,188.84,186.42,187.63,187.63,4749107
2010-03-11,187.43,188.6,186.57,187.59,187.59,5711882
2010-03-12,189.6,190.84,189.13,189.98,189.98,7429451
2010-03-15,184.15,186.61,183.32,184.97,184.97,2863672
2010-03-16,184.59,187.07,183.27,185.17,185.17,4306893
2010-03-17,185.58,186.59,183.62,185.1,185.1,5764669
2010-03-18,185.04,187.58,184.28,185.93,185.93,5509746
2010-03-19,187.51,188.54,185.53,187.04,187.04,4414201
2010-03-22,186.97,187.03,186.78,186.9,186.9,7060126
2010-03-23,186.2,188.73,183.9,186.32,186.32,3055128
2010-03-24,187.14,188.5,185.47,186.98,186.98,4959495
