path_id,test_start,test_end,sr_equal_weight,sr_naive_markowitz,sr_lw_shrinkage_only,sr_regularised_markowitz,sr_hrp
0,2005-01-04,2012-03-27,-0.3635337672316859,-0.7235582892581055,-0.7217868111497797,-0.7217868111497797,-0.45375185718661
1,2005-01-04,2015-11-06,0.27465079493740524,-0.1755806454207749,-0.17558064542077492,-0.17558064542077492,0.1790384282729099
2,2005-01-04,2019-06-19,-0.28586092858266926,-0.0033841705832909318,-0.0033841705832912536,-0.0033841705832912536,-0.33836160747639504
3,2005-01-04,2023-01-30,0.001984370381599076,0.12408569259896259,0.12408569259896284,0.12408569259896284,-0.02050540038318659
4,2005-01-04,2026-09-16,0.08523325707678947,0.41817318615131815,0.41817318615131804,0.41817318615131804,0.07963895761093599
5,2008-08-15,2015-11-06,-0.23529902943455328,-0.23444412036980253,-0.2311304643902925,-0.2311304643902925,-0.3234038329873078
6,2008-08-15,2019-06-19,-0.8200138117934123,-0.5871531609150009,-0.5871531609150007,-0.5871531609150007,-0.8479115419256029
7,2008-08-15,2023-01-30,-0.5269776715189263,-0.46339738844245126,-0.46339738844245115,-0.46339738844245115,-0.5284184522952219
8,2008-08-15,2026-09-16,-0.4254459453190617,-0.2026906370947346,-0.2026906370947345,-0.2026906370947345,-0.4144437893252145
9,2012-03-28,2019-06-19,-0.15637609279211082,-0.2346128646808149,-0.23114617909999918,-0.23114617909999918,-0.20017544946419777
10,2012-03-28,2023-01-30,0.1318778926670413,0.16198125666754098,0.1619812566675407,0.1619812566675407,0.10623308212258231
11,2012-03-28,2026-09-16,0.21122475256782752,-0.0008665639503332402,-0.0008665639503330509,-0.0008665639503330509,0.20549961075490375
12,2015-11-09,2023-01-30,-0.44870616512999756,-0.45969589221252055,-0.4596958922125202,-0.4596958922125202,-0.38906040693307903
13,2015-11-09,2026-09-16,-0.3486402572907648,-0.4168728019683087,-0.4202514893168196,-0.4202514893168196,-0.27881474284932223
14,2019-06-20,2026-09-16,-0.06200417214578244,-0.26028123027104555,-0.2634497266781423,-0.2634497266781423,0.022889609711107414
